contig_id	contig_length	provirus	proviral_length	gene_count	viral_genes	host_genes	checkv_quality	miuvig_quality	completeness	completeness_method	contamination	kmer_freq	warnings
contig_1068	2239	No	NA	4	2	0	Low-quality	Genome-fragment	2.75	HMM-based (lower-bound)	0.0	1.0	
contig_1069	11966	No	NA	29	0	0	Low-quality	Genome-fragment	20.75	AAI-based (medium-confidence)	0.0	1.01	no viral genes detected
contig_107	1520	No	NA	3	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
contig_1070	2758	No	NA	4	2	0	Low-quality	Genome-fragment	3.54	HMM-based (lower-bound)	0.0	1.0	
contig_1075	1057	No	NA	4	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
contig_1077	2046	No	NA	5	1	0	Low-quality	Genome-fragment	6.34	AAI-based (high-confidence)	0.0	1.0	
contig_1079	15032	No	NA	25	0	0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	no viral genes detected
contig_108	16635	No	NA	47	7	0	Low-quality	Genome-fragment	18.68	AAI-based (high-confidence)	0.0	1.0	
contig_1080	14146	No	NA	24	5	0	High-quality	High-quality	98.51	AAI-based (high-confidence)	0.0	1.0	
contig_1081	20092	No	NA	39	14	0	Low-quality	Genome-fragment	48.57	AAI-based (medium-confidence)	0.0	1.0	
contig_1082	15906	No	NA	21	13	0	Low-quality	Genome-fragment	34.68	AAI-based (high-confidence)	0.0	1.0	
contig_1083	10940	No	NA	17	14	0	Low-quality	Genome-fragment	30.07	AAI-based (high-confidence)	0.0	1.0	
contig_1084	11038	No	NA	16	9	0	Low-quality	Genome-fragment	32.31	AAI-based (high-confidence)	0.0	1.0	
contig_1085	2357	No	NA	6	1	0	Low-quality	Genome-fragment	0.73	AAI-based (high-confidence)	0.0	1.0	
contig_1086	9069	No	NA	14	1	0	Low-quality	Genome-fragment	13.57	HMM-based (lower-bound)	0.0	1.0	
contig_1087	16341	No	NA	29	4	0	High-quality	High-quality	100.0	AAI-based (medium-confidence)	0.0	1.0	
contig_1088	15786	No	NA	21	12	0	Low-quality	Genome-fragment	25.68	AAI-based (high-confidence)	0.0	1.0	
contig_1089	11085	No	NA	16	2	0	Low-quality	Genome-fragment	22.29	AAI-based (medium-confidence)	0.0	1.0	
contig_109	15785	No	NA	43	6	0	Low-quality	Genome-fragment	20.95	AAI-based (high-confidence)	0.0	1.0	
contig_1092	32186	No	NA	49	8	0	Medium-quality	Genome-fragment	71.69	HMM-based (lower-bound)	0.0	1.0	
contig_1095	23180	No	NA	53	15	0	Low-quality	Genome-fragment	48.01	AAI-based (medium-confidence)	0.0	1.0	
contig_1096	65151	No	NA	120	18	0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	contig >1.5x longer than expected genome length
contig_1097	14525	No	NA	24	2	0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
contig_1098	7500	No	NA	9	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
contig_1099	12200	No	NA	29	2	0	Low-quality	Genome-fragment	9.73	HMM-based (lower-bound)	0.0	1.0	
contig_110	33382	No	NA	60	14	0	High-quality	High-quality	98.08	AAI-based (medium-confidence)	0.0	1.0	
contig_1100	2768	No	NA	7	0	0	Low-quality	Genome-fragment	6.46	AAI-based (medium-confidence)	0.0	1.0	no viral genes detected
contig_1101	31229	No	NA	51	8	0	Low-quality	Genome-fragment	36.44	AAI-based (medium-confidence)	0.0	1.05	
contig_1102	6228	No	NA	8	1	0	Low-quality	Genome-fragment	7.99	HMM-based (lower-bound)	0.0	1.0	
contig_1103	7494	No	NA	13	1	0	Low-quality	Genome-fragment	16.3	AAI-based (medium-confidence)	0.0	1.0	
contig_1104	15323	No	NA	31	4	0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
contig_1105	4625	No	NA	9	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
contig_1106	4836	No	NA	14	1	0	Low-quality	Genome-fragment	2.99	HMM-based (lower-bound)	0.0	1.0	
contig_1107	36946	No	NA	62	6	0	Low-quality	Genome-fragment	35.8	HMM-based (lower-bound)	0.0	1.01	
contig_111	21074	No	NA	36	5	0	Medium-quality	Genome-fragment	62.14	AAI-based (high-confidence)	0.0	1.0	
contig_1110	8026	No	NA	13	9	0	Low-quality	Genome-fragment	24.84	AAI-based (high-confidence)	0.0	1.0	
contig_1111	31091	No	NA	50	11	0	High-quality	High-quality	97.64	AAI-based (high-confidence)	0.0	1.0	
contig_1113	2391	No	NA	3	1	0	Low-quality	Genome-fragment	6.37	AAI-based (high-confidence)	0.0	1.0	
contig_1114	6123	No	NA	11	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
contig_1115	13060	No	NA	19	2	0	Low-quality	Genome-fragment	29.6	AAI-based (high-confidence)	0.0	1.0	
contig_1116	46540	No	NA	70	3	0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
contig_1117	4765	No	NA	6	2	0	Low-quality	Genome-fragment	7.9	AAI-based (medium-confidence)	0.0	1.0	
contig_1118	21402	No	NA	39	10	0	Medium-quality	Genome-fragment	64.45	AAI-based (medium-confidence)	0.0	1.0	
contig_1119	28019	No	NA	45	3	0	Low-quality	Genome-fragment	37.66	HMM-based (lower-bound)	0.0	1.0	
contig_112	7845	No	NA	17	0	0	Low-quality	Genome-fragment	48.95	AAI-based (high-confidence)	0.0	1.0	no viral genes detected
contig_1120	1227	No	NA	3	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
contig_1129	6485	No	NA	13	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
contig_113	6409	No	NA	13	0	0	Low-quality	Genome-fragment	39.99	AAI-based (high-confidence)	0.0	1.0	no viral genes detected
contig_1130	4205	No	NA	8	2	0	Low-quality	Genome-fragment	10.24	AAI-based (medium-confidence)	0.0	1.0	
contig_1131	51372	No	NA	104	16	1	High-quality	High-quality	98.34	AAI-based (high-confidence)	0.0	1.0	
contig_1132	2610	No	NA	4	2	0	Low-quality	Genome-fragment	6.14	AAI-based (medium-confidence)	0.0	1.0	
contig_1133	2613	No	NA	5	1	0	Low-quality	Genome-fragment	1.85	HMM-based (lower-bound)	0.0	1.0	
contig_1134	23082	No	NA	51	3	0	Low-quality	Genome-fragment	16.01	HMM-based (lower-bound)	0.0	1.0	
contig_1135	3167	No	NA	6	2	0	Low-quality	Genome-fragment	6.8	AAI-based (medium-confidence)	0.0	1.0	
contig_1136	37294	No	NA	58	25	0	Medium-quality	Genome-fragment	87.0	AAI-based (high-confidence)	0.0	1.0	
contig_1137	4224	No	NA	8	2	0	Low-quality	Genome-fragment	27.03	AAI-based (high-confidence)	0.0	1.0	
contig_1138	1247	No	NA	1	0	0	Low-quality	Genome-fragment	8.37	AAI-based (high-confidence)	0.0	1.0	no viral genes detected
contig_1139	6822	No	NA	14	4	0	Low-quality	Genome-fragment	7.12	HMM-based (lower-bound)	0.0	1.0	
contig_114	16419	No	NA	32	3	1	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
contig_1140	8555	No	NA	19	2	0	Medium-quality	Genome-fragment	56.78	AAI-based (high-confidence)	0.0	1.0	
contig_1141	8793	No	NA	11	1	0	Low-quality	Genome-fragment	14.4	HMM-based (lower-bound)	0.0	1.0	
contig_1142	3414	No	NA	6	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
contig_1143	3012	No	NA	7	0	0	Low-quality	Genome-fragment	5.46	AAI-based (medium-confidence)	0.0	1.0	no viral genes detected
contig_1144	7364	No	NA	12	1	0	Low-quality	Genome-fragment	4.11	HMM-based (lower-bound)	0.0	1.0	
contig_1145	4604	No	NA	13	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
contig_1146	5265	No	NA	9	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.1	no viral genes detected
contig_1147	2235	No	NA	8	1	0	Low-quality	Genome-fragment	3.33	HMM-based (lower-bound)	0.0	1.0	
contig_1148	15547	No	NA	25	2	0	High-quality	High-quality	99.24	AAI-based (high-confidence)	0.0	1.0	
contig_115	3964	No	NA	11	0	0	Low-quality	Genome-fragment	24.59	AAI-based (medium-confidence)	0.0	1.0	no viral genes detected
contig_1151	16042	No	NA	23	2	0	High-quality	High-quality	99.99	AAI-based (high-confidence)	0.0	1.0	
contig_1152	3042	No	NA	2	0	0	Low-quality	Genome-fragment	2.75	AAI-based (high-confidence)	0.0	1.0	no viral genes detected
contig_1153	13553	No	NA	14	0	0	Low-quality	Genome-fragment	24.66	AAI-based (medium-confidence)	0.0	1.0	no viral genes detected
contig_1154	12314	No	NA	18	1	0	Low-quality	Genome-fragment	11.38	HMM-based (lower-bound)	0.0	1.0	
contig_1155	27817	No	NA	43	10	0	Low-quality	Genome-fragment	24.79	HMM-based (lower-bound)	0.0	1.0	
contig_1156	10038	No	NA	19	1	0	Low-quality	Genome-fragment	6.99	HMM-based (lower-bound)	0.0	1.01	
contig_1157	48870	No	NA	82	12	1	Medium-quality	Genome-fragment	61.83	HMM-based (lower-bound)	0.0	1.01	
contig_1158	3212	No	NA	6	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
contig_1159	42592	No	NA	79	3	0	Low-quality	Genome-fragment	23.33	HMM-based (lower-bound)	0.0	1.04	
contig_116	2724	No	NA	7	0	0	Low-quality	Genome-fragment	17.01	AAI-based (high-confidence)	0.0	1.0	no viral genes detected
contig_1160	30024	No	NA	56	9	1	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
contig_1161	13423	No	NA	18	3	0	Low-quality	Genome-fragment	41.57	AAI-based (high-confidence)	0.0	1.0	
contig_1162	11726	No	NA	30	2	0	Low-quality	Genome-fragment	3.36	HMM-based (lower-bound)	0.0	1.0	
contig_1163	17919	No	NA	29	4	1	Low-quality	Genome-fragment	24.7	HMM-based (lower-bound)	0.0	1.0	
contig_1164	12042	No	NA	27	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
contig_1165	26465	No	NA	50	11	0	Medium-quality	Genome-fragment	83.6	AAI-based (medium-confidence)	0.0	1.0	
contig_1166	16744	No	NA	24	5	0	High-quality	High-quality	100.0	AAI-based (medium-confidence)	0.0	1.0	
contig_1169	39797	No	NA	74	1	0	High-quality	High-quality	100.0	AAI-based (medium-confidence)	0.0	1.0	
contig_117	7851	No	NA	14	6	0	Low-quality	Genome-fragment	8.73	HMM-based (lower-bound)	0.0	1.0	
contig_1170	36365	No	NA	76	7	0	High-quality	High-quality	93.21	AAI-based (high-confidence)	0.0	1.0	
contig_1171	2522	No	NA	4	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
contig_1172	4490	No	NA	7	4	0	Low-quality	Genome-fragment	9.12	AAI-based (medium-confidence)	0.0	1.0	
contig_1175	16175	No	NA	24	1	0	Low-quality	Genome-fragment	35.47	AAI-based (medium-confidence)	0.0	1.0	
contig_1176	6117	No	NA	11	2	0	Low-quality	Genome-fragment	4.83	HMM-based (lower-bound)	0.0	1.0	
contig_1177	41139	No	NA	71	30	0	High-quality	High-quality	96.47	AAI-based (high-confidence)	0.0	1.0	
contig_1179	2082	No	NA	3	1	0	Low-quality	Genome-fragment	4.14	AAI-based (medium-confidence)	0.0	1.0	
contig_118	33620	No	NA	83	11	0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
contig_1182	2446	No	NA	7	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
contig_1184	30062	No	NA	61	15	0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
contig_1187	2323	No	NA	4	0	0	Low-quality	Genome-fragment	7.26	AAI-based (medium-confidence)	0.0	1.0	no viral genes detected
contig_1189	6813	No	NA	16	1	0	Low-quality	Genome-fragment	6.22	HMM-based (lower-bound)	0.0	1.0	
contig_119	7473	No	NA	16	2	0	Low-quality	Genome-fragment	19.72	AAI-based (medium-confidence)	0.0	1.0	
contig_1190	3799	No	NA	11	2	0	Low-quality	Genome-fragment	2.78	HMM-based (lower-bound)	0.0	1.0	
contig_1191	14706	No	NA	30	1	0	Low-quality	Genome-fragment	13.36	HMM-based (lower-bound)	0.0	1.0	
contig_1192	3111	No	NA	6	0	0	Low-quality	Genome-fragment	5.1	AAI-based (medium-confidence)	0.0	1.0	no viral genes detected
contig_1193	4417	No	NA	5	2	0	Low-quality	Genome-fragment	12.39	AAI-based (high-confidence)	0.0	1.0	
contig_1194	3296	No	NA	5	1	0	Low-quality	Genome-fragment	8.92	AAI-based (high-confidence)	0.0	1.0	
contig_1195	3262	No	NA	5	2	0	Low-quality	Genome-fragment	9.37	AAI-based (medium-confidence)	0.0	1.0	
contig_1196	6269	No	NA	7	1	0	Low-quality	Genome-fragment	8.9	HMM-based (lower-bound)	0.0	1.0	
contig_1197	4158	No	NA	14	1	0	Low-quality	Genome-fragment	2.37	HMM-based (lower-bound)	0.0	1.0	
contig_1198	28588	No	NA	55	12	0	Medium-quality	Genome-fragment	68.49	AAI-based (high-confidence)	0.0	1.0	
contig_1199	15258	No	NA	29	10	0	Low-quality	Genome-fragment	44.23	AAI-based (high-confidence)	0.0	1.0	
contig_120	27677	No	NA	47	16	0	Medium-quality	Genome-fragment	83.49	AAI-based (high-confidence)	0.0	1.0	
contig_1200	3318	No	NA	5	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
contig_1201	15284	No	NA	26	2	0	High-quality	High-quality	100.0	AAI-based (medium-confidence)	0.0	1.0	
contig_1202	1403	No	NA	4	1	0	Low-quality	Genome-fragment	3.78	AAI-based (high-confidence)	0.0	1.0	
contig_1203	1516	No	NA	6	2	0	Low-quality	Genome-fragment	0.81	HMM-based (lower-bound)	0.0	1.0	
contig_1204	8194	No	NA	17	1	0	Low-quality	Genome-fragment	7.57	HMM-based (lower-bound)	0.0	1.0	
contig_1205	52501	No	NA	87	1	1	Low-quality	Genome-fragment	13.19	HMM-based (lower-bound)	0.0	1.0	
contig_1206	18267	No	NA	29	2	0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
contig_1207	14130	No	NA	28	3	0	High-quality	High-quality	96.66	AAI-based (medium-confidence)	0.0	1.0	
contig_1208	4058	No	NA	5	2	0	Low-quality	Genome-fragment	10.09	AAI-based (medium-confidence)	0.0	1.0	
contig_1209	3559	No	NA	8	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.01	no viral genes detected
contig_121	2392	No	NA	3	0	0	Low-quality	Genome-fragment	6.08	AAI-based (medium-confidence)	0.0	1.0	no viral genes detected
contig_1210	20334	No	NA	22	5	0	Medium-quality	Genome-fragment	66.7	AAI-based (medium-confidence)	0.0	1.0	
contig_1211	2733	No	NA	5	1	0	Low-quality	Genome-fragment	6.66	AAI-based (high-confidence)	0.0	1.0	
contig_1212	12984	No	NA	28	2	0	Medium-quality	Genome-fragment	87.86	AAI-based (high-confidence)	0.0	1.0	
contig_1213	1416	No	NA	2	1	0	Low-quality	Genome-fragment	9.56	AAI-based (high-confidence)	0.0	1.0	
contig_1214	12914	No	NA	22	3	0	Medium-quality	Genome-fragment	83.65	AAI-based (high-confidence)	0.0	1.0	
contig_1215	14478	No	NA	24	3	0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
contig_1218	34004	No	NA	43	17	0	High-quality	High-quality	93.11	AAI-based (high-confidence)	0.0	1.02	
contig_1219	2884	No	NA	7	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
contig_122	9998	No	NA	15	0	0	Medium-quality	Genome-fragment	69.57	AAI-based (medium-confidence)	0.0	1.0	no viral genes detected
contig_1220	3240	No	NA	7	1	0	Low-quality	Genome-fragment	6.6	AAI-based (medium-confidence)	0.0	1.0	
contig_1221	9555	No	NA	19	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
contig_1222	4307	No	NA	8	0	0	Low-quality	Genome-fragment	11.34	AAI-based (high-confidence)	0.0	1.0	no viral genes detected
contig_1223	44980	No	NA	87	7	1	Medium-quality	Genome-fragment	85.04	HMM-based (lower-bound)	0.0	1.0	
contig_1224	2683	No	NA	1	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
contig_1225	21932	No	NA	42	3	0	Low-quality	Genome-fragment	23.66	HMM-based (lower-bound)	0.0	1.0	
contig_1226	33104	No	NA	64	22	0	High-quality	High-quality	91.33	AAI-based (medium-confidence)	0.0	1.0	
contig_1227	3416	No	NA	9	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
contig_1228	9552	No	NA	17	7	0	Low-quality	Genome-fragment	26.76	AAI-based (high-confidence)	0.0	1.07	
contig_1229	10729	No	NA	16	8	0	Low-quality	Genome-fragment	23.24	AAI-based (high-confidence)	0.0	1.0	
contig_123	43186	No	NA	75	16	0	High-quality	High-quality	99.95	AAI-based (high-confidence)	0.0	1.0	
contig_1230	1256	No	NA	4	3	0	Low-quality	Genome-fragment	2.86	AAI-based (medium-confidence)	0.0	1.0	
contig_1235	21378	No	NA	37	11	0	Low-quality	Genome-fragment	38.62	AAI-based (medium-confidence)	0.0	1.0	
contig_1236	13367	No	NA	22	17	0	Low-quality	Genome-fragment	31.38	AAI-based (high-confidence)	0.0	1.0	
contig_1239	36142	No	NA	75	22	0	Low-quality	Genome-fragment	40.99	AAI-based (high-confidence)	0.0	1.0	
contig_124	11045	No	NA	17	2	0	Low-quality	Genome-fragment	22.51	AAI-based (medium-confidence)	0.0	1.0	
contig_1240	29943	No	NA	55	15	0	Medium-quality	Genome-fragment	61.77	HMM-based (lower-bound)	0.0	1.0	
contig_1241	5123	No	NA	11	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
contig_1242	29633	No	NA	58	19	0	Low-quality	Genome-fragment	48.03	AAI-based (high-confidence)	0.0	1.0	
contig_1243	10916	No	NA	15	4	0	Low-quality	Genome-fragment	17.74	AAI-based (high-confidence)	0.0	1.0	
contig_1244	3520	No	NA	5	2	0	Low-quality	Genome-fragment	8.57	AAI-based (high-confidence)	0.0	1.0	
contig_1245	22094	No	NA	35	5	0	Medium-quality	Genome-fragment	66.1	AAI-based (medium-confidence)	0.0	1.0	
contig_1246	19963	No	NA	30	1	0	Low-quality	Genome-fragment	26.13	HMM-based (lower-bound)	0.0	1.01	
contig_1247	11684	No	NA	14	10	0	Low-quality	Genome-fragment	35.19	AAI-based (medium-confidence)	0.0	1.0	
contig_1248	10564	No	NA	20	12	0	Low-quality	Genome-fragment	29.03	AAI-based (high-confidence)	0.0	1.0	
contig_1249	10522	No	NA	26	2	0	Low-quality	Genome-fragment	15.86	HMM-based (lower-bound)	0.0	1.0	
contig_125	6372	No	NA	12	5	0	Low-quality	Genome-fragment	9.08	HMM-based (lower-bound)	0.0	1.03	
contig_1250	5671	No	NA	6	1	0	Low-quality	Genome-fragment	13.01	AAI-based (medium-confidence)	0.0	1.0	
contig_1251	1683	No	NA	2	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.25	no viral genes detected
contig_1252	28085	No	NA	47	23	0	Medium-quality	Genome-fragment	61.25	AAI-based (high-confidence)	0.0	1.0	
contig_1253	4788	No	NA	11	3	0	Low-quality	Genome-fragment	8.77	AAI-based (high-confidence)	0.0	1.0	
contig_1254	19106	No	NA	31	22	0	Medium-quality	Genome-fragment	51.21	AAI-based (high-confidence)	0.0	1.0	
contig_1257	36821	No	NA	76	18	0	Medium-quality	Genome-fragment	57.5	HMM-based (lower-bound)	0.0	1.0	
contig_1262	32671	No	NA	69	23	0	Medium-quality	Genome-fragment	50.76	HMM-based (lower-bound)	0.0	1.0	
