Description	Count	contig
transcription regulation	0	contig_1460
unknown function	63	contig_1460
tRNAs	0	contig_1460
CRISPRs	0	contig_1460
tmRNAs	0	contig_1460
VFDB_Virulence_Factors	0	contig_1460
CARD_AMR_Genes	0	contig_1460
CDS	332	contig_200
connector	1	contig_200
DNA, RNA and nucleotide metabolism	28	contig_200
head and packaging	7	contig_200
integration and excision	0	contig_200
lysis	1	contig_200
moron, auxiliary metabolic gene and host takeover	2	contig_200
other	4	contig_200
tail	7	contig_200
transcription regulation	0	contig_200
unknown function	282	contig_200
tRNAs	0	contig_200
CRISPRs	0	contig_200
tmRNAs	0	contig_200
VFDB_Virulence_Factors	0	contig_200
CARD_AMR_Genes	0	contig_200
CDS	284	contig_267
connector	0	contig_267
DNA, RNA and nucleotide metabolism	7	contig_267
head and packaging	6	contig_267
integration and excision	0	contig_267
lysis	2	contig_267
moron, auxiliary metabolic gene and host takeover	1	contig_267
other	1	contig_267
tail	1	contig_267
transcription regulation	0	contig_267
unknown function	266	contig_267
tRNAs	0	contig_267
CRISPRs	0	contig_267
tmRNAs	0	contig_267
VFDB_Virulence_Factors	0	contig_267
CARD_AMR_Genes	0	contig_267
CDS	62	contig_400
connector	0	contig_400
DNA, RNA and nucleotide metabolism	0	contig_400
head and packaging	1	contig_400
integration and excision	0	contig_400
lysis	0	contig_400
moron, auxiliary metabolic gene and host takeover	0	contig_400
other	0	contig_400
tail	0	contig_400
transcription regulation	0	contig_400
unknown function	61	contig_400
tRNAs	0	contig_400
CRISPRs	0	contig_400
tmRNAs	0	contig_400
VFDB_Virulence_Factors	0	contig_400
CARD_AMR_Genes	0	contig_400
CDS	231	contig_58
connector	2	contig_58
DNA, RNA and nucleotide metabolism	21	contig_58
head and packaging	13	contig_58
integration and excision	0	contig_58
lysis	1	contig_58
moron, auxiliary metabolic gene and host takeover	0	contig_58
other	6	contig_58
tail	10	contig_58
transcription regulation	0	contig_58
unknown function	178	contig_58
tRNAs	1	contig_58
CRISPRs	0	contig_58
tmRNAs	0	contig_58
VFDB_Virulence_Factors	0	contig_58
CARD_AMR_Genes	0	contig_58
CDS	224	contig_644
connector	1	contig_644
DNA, RNA and nucleotide metabolism	7	contig_644
head and packaging	13	contig_644
integration and excision	0	contig_644
lysis	1	contig_644
moron, auxiliary metabolic gene and host takeover	0	contig_644
other	3	contig_644
tail	1	contig_644
transcription regulation	0	contig_644
unknown function	198	contig_644
tRNAs	0	contig_644
CRISPRs	0	contig_644
tmRNAs	0	contig_644
VFDB_Virulence_Factors	0	contig_644
CARD_AMR_Genes	0	contig_644
CDS	163	contig_815
connector	2	contig_815
DNA, RNA and nucleotide metabolism	8	contig_815
head and packaging	7	contig_815
integration and excision	0	contig_815
lysis	1	contig_815
moron, auxiliary metabolic gene and host takeover	0	contig_815
other	1	contig_815
tail	2	contig_815
transcription regulation	0	contig_815
unknown function	142	contig_815
tRNAs	0	contig_815
CRISPRs	0	contig_815
tmRNAs	0	contig_815
VFDB_Virulence_Factors	0	contig_815
CARD_AMR_Genes	0	contig_815
CDS	38	contig_820
connector	0	contig_820
DNA, RNA and nucleotide metabolism	1	contig_820
head and packaging	2	contig_820
integration and excision	0	contig_820
lysis	0	contig_820
moron, auxiliary metabolic gene and host takeover	0	contig_820
other	0	contig_820
tail	1	contig_820
transcription regulation	0	contig_820
unknown function	34	contig_820
tRNAs	0	contig_820
CRISPRs	0	contig_820
tmRNAs	0	contig_820
VFDB_Virulence_Factors	0	contig_820
CARD_AMR_Genes	0	contig_820
