object	cluster
contig_1198	contig_1198
contig_727	contig_727
contig_676	contig_676
contig_1525	contig_1525
contig_701	contig_701
contig_1252	contig_1252
contig_522	contig_522
contig_1119	contig_1119
contig_546	contig_546
contig_1155	contig_1155
contig_120	contig_120
contig_1499	contig_1499
contig_1321	contig_1321
contig_539	contig_539
contig_839	contig_839
contig_1552	contig_1552
contig_168	contig_168
contig_16	contig_16
contig_1165	contig_1165
contig_907	contig_907
contig_139	contig_139
contig_555	contig_555
contig_952	contig_952
contig_412	contig_412
contig_515	contig_515
contig_78	contig_78
contig_24	contig_24
contig_582	contig_582
contig_416	contig_416
contig_551	contig_551
contig_426	contig_426
contig_993	contig_993
contig_614	contig_614
contig_298	contig_298
contig_284	contig_284
contig_36	contig_36
contig_974	contig_974
contig_943	contig_943
contig_1307	contig_1307
contig_1028	contig_1028
contig_483	contig_483
contig_909	contig_909
contig_1363	contig_1363
contig_1336	contig_1336
contig_1095	contig_1095
contig_669	contig_669
contig_1134	contig_1134
contig_680	contig_680
contig_1275	contig_1275
contig_705	contig_705
contig_1385	contig_1385
contig_900	contig_900
contig_658	contig_658
contig_858	contig_858
contig_1245	contig_1245
contig_611	contig_611
contig_1225	contig_1225
contig_831	contig_831
contig_572	contig_572
contig_645	contig_645
contig_673	contig_673
contig_608	contig_608
contig_1118	contig_1118
contig_1491	contig_1491
contig_1235	contig_1235
contig_5	contig_5
contig_186	contig_186
contig_111	contig_111
contig_560	contig_560
contig_1488	contig_1488
contig_861	contig_861
contig_1281	contig_1281
contig_599	contig_599
contig_574	contig_574
contig_746	contig_746
contig_81	contig_81
contig_1210	contig_1210
contig_206	contig_206
contig_288	contig_288
contig_1450	contig_1450
contig_1081	contig_1081
contig_1246	contig_1246
contig_443	contig_443
contig_1501	contig_1501
contig_481	contig_481
contig_1453	contig_1453
contig_568	contig_568
contig_776	contig_776
contig_94	contig_94
contig_990	contig_990
contig_207	contig_207
contig_1343	contig_1343
contig_1254	contig_1254
contig_795	contig_795
contig_425	contig_425
contig_101	contig_101
contig_1034	contig_1034
contig_550	contig_550
contig_982	contig_982
contig_1031	contig_1031
contig_595	contig_595
contig_1206	contig_1206
contig_18	contig_18
contig_1163	contig_1163
contig_491	contig_491
contig_785	contig_785
contig_577	contig_577
contig_461	contig_461
contig_523	contig_523
contig_1058	contig_1058
contig_1416	contig_1416
contig_1342	contig_1342
contig_346	contig_346
contig_966	contig_966
contig_480	contig_480
contig_698	contig_698
contig_840	contig_840
contig_1444	contig_1444
contig_1437	contig_1437
contig_591	contig_591
contig_1311	contig_1311
contig_1433	contig_1433
contig_1026	contig_1026
contig_493	contig_493
contig_1485	contig_1485
contig_1351	contig_1351
contig_104	contig_104
contig_1166	contig_1166
contig_860	contig_860
contig_202	contig_202
contig_130	contig_130
contig_108	contig_108
contig_549	contig_549
contig_102	contig_102
contig_945	contig_945
contig_103	contig_103
contig_114	contig_114
contig_1087	contig_1087
contig_296	contig_296
contig_983	contig_983
contig_1479	contig_1479
contig_1175	contig_1175
contig_75	contig_75
contig_1441	contig_1441
contig_1291	contig_1291
contig_504	contig_504
contig_1151	contig_1151
contig_169	contig_169
contig_1366	contig_1366
contig_96	contig_96
contig_514	contig_514
contig_462	contig_462
contig_93	contig_93
contig_1082	contig_1082
contig_1033	contig_1033
contig_1282	contig_1282
contig_1293	contig_1293
contig_1460	contig_1460
contig_1349	contig_1349
contig_1457	contig_1457
contig_1088	contig_1088
contig_109	contig_109
contig_1358	contig_1358
contig_506	contig_506
contig_926	contig_926
contig_466	contig_466
contig_400	contig_400
contig_1382	contig_1382
contig_1148	contig_1148
contig_468	contig_468
contig_613	contig_613
contig_1459	contig_1459
contig_844	contig_844
contig_264	contig_264
contig_1544	contig_1544
contig_377	contig_377
contig_880	contig_880
contig_1280	contig_1280
contig_1424	contig_1424
contig_292	contig_292
contig_763	contig_763
contig_812	contig_812
contig_388	contig_388
contig_1104	contig_1104
contig_1201	contig_1201
contig_90	contig_90
contig_464	contig_464
contig_1199	contig_1199
contig_1317	contig_1317
contig_501	contig_501
contig_1509	contig_1509
contig_1301	contig_1301
contig_395	contig_395
contig_946	contig_946
contig_304	contig_304
contig_343	contig_343
contig_1021	contig_1021
contig_1079	contig_1079
contig_1360	contig_1360
contig_683	contig_683
contig_89	contig_89
contig_557	contig_557
contig_910	contig_910
contig_1272	contig_1272
contig_1391	contig_1391
contig_1407	contig_1407
contig_654	contig_654
contig_398	contig_398
contig_977	contig_977
contig_897	contig_897
contig_1010	contig_1010
contig_98	contig_98
contig_791	contig_791
contig_1467	contig_1467
contig_9	contig_9
contig_731	contig_731
contig_1191	contig_1191
contig_257	contig_257
contig_1529	contig_1529
contig_766	contig_766
contig_972	contig_972
contig_969	contig_969
contig_720	contig_720
contig_253	contig_253
contig_1268	contig_1268
contig_633	contig_633
contig_1331	contig_1331
contig_1438	contig_1438
contig_1097	contig_1097
contig_1417	contig_1417
contig_1384	contig_1384
contig_1442	contig_1442
contig_1215	contig_1215
contig_6	contig_6
contig_199	contig_199
contig_428	contig_428
contig_1303	contig_1303
contig_1024	contig_1024
contig_1469	contig_1469
contig_266	contig_266
contig_573	contig_573
contig_286	contig_286
contig_1271	contig_1271
contig_1040	contig_1040
contig_986	contig_986
contig_1080	contig_1080
contig_438	contig_438
contig_1207	contig_1207
contig_1449	contig_1449
contig_959	contig_959
contig_584	contig_584
contig_265	contig_265
contig_696	contig_696
contig_1408	contig_1408
contig_780	contig_780
contig_996	contig_996
contig_274	contig_274
contig_865	contig_865
contig_901	contig_901
contig_1302	contig_1302
contig_188	contig_188
contig_558	contig_558
contig_718	contig_718
contig_469	contig_469
contig_1435	contig_1435
contig_1274	contig_1274
contig_911	contig_911
contig_659	contig_659
contig_60	contig_60
contig_1153	contig_1153
contig_1493	contig_1493
contig_1161	contig_1161
contig_1236	contig_1236
contig_225	contig_225
contig_1455	contig_1455
contig_1446	contig_1446
contig_1020	contig_1020
contig_283	contig_283
contig_1353	contig_1353
contig_528	contig_528
contig_699	contig_699
contig_852	contig_852
contig_820	contig_820
contig_826	contig_826
contig_653	contig_653
contig_1341	contig_1341
contig_222	contig_222
contig_1115	contig_1115
contig_302	contig_302
contig_1048	contig_1048
contig_1212	contig_1212
contig_1388	contig_1388
contig_835	contig_835
contig_1214	contig_1214
contig_1055	contig_1055
contig_953	contig_953
contig_1046	contig_1046
contig_979	contig_979
contig_384	contig_384
contig_1273	contig_1273
contig_303	contig_303
contig_91	contig_91
contig_597	contig_597
contig_1422	contig_1422
contig_1458	contig_1458
contig_401	contig_401
contig_684	contig_684
contig_488	contig_488
contig_83	contig_83
contig_566	contig_566
contig_7	contig_7
contig_38	contig_38
contig_1432	contig_1432
contig_1154	contig_1154
contig_389	contig_389
contig_305	contig_305
contig_297	contig_297
contig_1099	contig_1099
contig_1032	contig_1032
contig_881	contig_881
contig_973	contig_973
contig_940	contig_940
contig_863	contig_863
contig_755	contig_755
contig_1398	contig_1398
contig_1052	contig_1052
contig_1164	contig_1164
contig_650	contig_650
contig_1069	contig_1069
contig_1344	contig_1344
contig_381	contig_381
contig_417	contig_417
contig_465	contig_465
contig_758	contig_758
contig_989	contig_989
contig_352	contig_352
contig_32	contig_32
contig_1162	contig_1162
contig_1247	contig_1247
contig_508	contig_508
contig_704	contig_704
contig_671	contig_671
contig_442	contig_442
contig_1415	contig_1415
contig_899	contig_899
contig_998	contig_998
contig_385	contig_385
contig_487	contig_487
contig_1318	contig_1318
contig_1510	contig_1510
contig_485	contig_485
contig_209	contig_209
contig_789	contig_789
contig_764	contig_764
contig_719	contig_719
contig_1089	contig_1089
contig_124	contig_124
contig_692	contig_692
contig_1084	contig_1084
contig_816	contig_816
contig_1559	contig_1559
contig_643	contig_643
contig_962	contig_962
contig_1064	contig_1064
contig_1083	contig_1083
contig_670	contig_670
contig_788	contig_788
contig_1518	contig_1518
contig_375	contig_375
contig_1243	contig_1243
contig_1059	contig_1059
contig_703	contig_703
contig_1038	contig_1038
contig_824	contig_824
contig_728	contig_728
contig_1229	contig_1229
contig_1359	contig_1359
contig_507	contig_507
contig_642	contig_642
contig_270	contig_270
contig_1248	contig_1248
contig_1504	contig_1504
contig_1249	contig_1249
contig_1369	contig_1369
contig_960	contig_960
contig_587	contig_587
contig_20	contig_20
contig_925	contig_925
contig_393	contig_393
contig_594	contig_594
contig_1386	contig_1386
contig_399	contig_399
contig_1354	contig_1354
contig_656	contig_656
contig_429	contig_429
contig_373	contig_373
contig_862	contig_862
contig_183	contig_183
contig_628	contig_628
contig_556	contig_556
contig_1476	contig_1476
contig_942	contig_942
contig_1156	contig_1156
contig_122	contig_122
contig_63	contig_63
contig_1379	contig_1379
contig_819	contig_819
contig_1478	contig_1478
contig_392	contig_392
contig_1065	contig_1065
contig_1461	contig_1461
contig_420	contig_420
contig_583	contig_583
contig_749	contig_749
contig_928	contig_928
contig_1429	contig_1429
contig_1320	contig_1320
contig_463	contig_463
contig_1221	contig_1221
contig_1228	contig_1228
contig_540	contig_540
contig_250	contig_250
contig_1015	contig_1015
contig_898	contig_898
contig_345	contig_345
contig_170	contig_170
contig_254	contig_254
contig_797	contig_797
contig_1350	contig_1350
contig_735	contig_735
contig_41	contig_41
contig_1454	contig_1454
contig_1086	contig_1086
contig_896	contig_896
contig_82	contig_82
contig_1315	contig_1315
contig_1402	contig_1402
contig_243	contig_243
contig_394	contig_394
contig_672	contig_672
contig_836	contig_836
contig_559	contig_559
contig_787	contig_787
contig_1430	contig_1430
contig_726	contig_726
contig_1141	contig_1141
contig_1466	contig_1466
contig_849	contig_849
contig_807	contig_807
contig_814	contig_814
contig_827	contig_827
contig_850	contig_850
contig_1470	contig_1470
contig_530	contig_530
contig_1505	contig_1505
contig_600	contig_600
contig_1140	contig_1140
contig_1515	contig_1515
contig_636	contig_636
contig_547	contig_547
contig_1421	contig_1421
contig_347	contig_347
contig_65	contig_65
contig_55	contig_55
contig_908	contig_908
contig_1204	contig_1204
contig_890	contig_890
contig_39	contig_39
contig_1051	contig_1051
contig_739	contig_739
contig_752	contig_752
contig_1483	contig_1483
contig_729	contig_729
contig_521	contig_521
contig_1022	contig_1022
contig_615	contig_615
contig_1029	contig_1029
contig_192	contig_192
contig_848	contig_848
contig_1110	contig_1110
contig_813	contig_813
contig_774	contig_774
contig_376	contig_376
contig_957	contig_957
contig_117	contig_117
contig_112	contig_112
contig_1447	contig_1447
contig_457	contig_457
contig_1296	contig_1296
contig_173	contig_173
contig_50	contig_50
contig_736	contig_736
contig_197	contig_197
contig_765	contig_765
contig_733	contig_733
contig_2	contig_2
contig_1371	contig_1371
contig_70	contig_70
contig_851	contig_851
contig_1098	contig_1098
contig_1103	contig_1103
contig_119	contig_119
contig_1516	contig_1516
contig_700	contig_700
contig_1144	contig_1144
contig_77	contig_77
contig_664	contig_664
contig_971	contig_971
contig_1067	contig_1067
contig_757	contig_757
contig_579	contig_579
contig_590	contig_590
contig_249	contig_249
contig_817	contig_817
contig_1553	contig_1553
contig_1011	contig_1011
contig_747	contig_747
contig_702	contig_702
contig_348	contig_348
contig_37	contig_37
contig_1263	contig_1263
contig_49	contig_49
contig_1532	contig_1532
contig_1367	contig_1367
contig_529	contig_529
contig_805	contig_805
contig_806	contig_806
contig_981	contig_981
contig_71	contig_71
contig_208	contig_208
contig_888	contig_888
contig_1036	contig_1036
contig_679	contig_679
contig_1361	contig_1361
contig_1523	contig_1523
contig_1027	contig_1027
contig_1139	contig_1139
contig_1189	contig_1189
contig_793	contig_793
contig_552	contig_552
contig_68	contig_68
contig_1348	contig_1348
contig_13	contig_13
contig_950	contig_950
contig_403	contig_403
contig_677	contig_677
contig_64	contig_64
contig_436	contig_436
contig_638	contig_638
contig_919	contig_919
contig_503	contig_503
contig_992	contig_992
contig_1556	contig_1556
contig_1537	contig_1537
contig_1475	contig_1475
contig_786	contig_786
contig_1129	contig_1129
contig_415	contig_415
contig_113	contig_113
contig_1061	contig_1061
contig_125	contig_125
contig_562	contig_562
contig_387	contig_387
contig_51	contig_51
contig_1196	contig_1196
contig_1285	contig_1285
contig_1102	contig_1102
contig_538	contig_538
contig_792	contig_792
contig_204	contig_204
contig_1114	contig_1114
contig_1176	contig_1176
contig_79	contig_79
contig_233	contig_233
contig_663	contig_663
contig_134	contig_134
contig_445	contig_445
contig_1419	contig_1419
contig_1560	contig_1560
contig_214	contig_214
contig_781	contig_781
contig_1494	contig_1494
contig_1468	contig_1468
contig_1319	contig_1319
contig_1395	contig_1395
contig_1017	contig_1017
contig_1440	contig_1440
contig_1250	contig_1250
contig_455	contig_455
contig_808	contig_808
contig_1527	contig_1527
contig_1335	contig_1335
contig_1528	contig_1528
contig_1016	contig_1016
contig_1270	contig_1270
contig_69	contig_69
contig_1368	contig_1368
contig_833	contig_833
contig_1299	contig_1299
contig_782	contig_782
contig_874	contig_874
contig_1383	contig_1383
contig_1332	contig_1332
contig_1557	contig_1557
contig_963	contig_963
contig_281	contig_281
contig_1357	contig_1357
contig_1012	contig_1012
contig_706	contig_706
contig_237	contig_237
contig_1492	contig_1492
contig_396	contig_396
contig_864	contig_864
contig_1146	contig_1146
contig_607	contig_607
contig_236	contig_236
contig_252	contig_252
contig_353	contig_353
contig_1345	contig_1345
contig_887	contig_887
contig_62	contig_62
contig_235	contig_235
contig_796	contig_796
contig_1066	contig_1066
contig_1241	contig_1241
contig_1418	contig_1418
contig_234	contig_234
contig_714	contig_714
contig_724	contig_724
contig_198	contig_198
contig_456	contig_456
contig_617	contig_617
contig_1050	contig_1050
contig_941	contig_941
contig_987	contig_987
contig_439	contig_439
contig_489	contig_489
contig_418	contig_418
contig_855	contig_855
contig_220	contig_220
contig_1106	contig_1106
contig_1355	contig_1355
contig_609	contig_609
contig_1253	contig_1253
contig_1117	contig_1117
contig_616	contig_616
contig_665	contig_665
contig_486	contig_486
contig_882	contig_882
contig_14	contig_14
contig_354	contig_354
contig_1462	contig_1462
contig_404	contig_404
contig_709	contig_709
contig_732	contig_732
contig_299	contig_299
contig_1105	contig_1105
contig_1145	contig_1145
contig_589	contig_589
contig_830	contig_830
contig_226	contig_226
contig_707	contig_707
contig_1172	contig_1172
contig_1035	contig_1035
contig_263	contig_263
contig_588	contig_588
contig_59	contig_59
contig_625	contig_625
contig_1193	contig_1193
contig_578	contig_578
contig_640	contig_640
contig_505	contig_505
contig_580	contig_580
contig_772	contig_772
contig_1222	contig_1222
contig_53	contig_53
contig_1434	contig_1434
contig_1381	contig_1381
contig_629	contig_629
contig_1137	contig_1137
contig_1130	contig_1130
contig_985	contig_985
contig_328	contig_328
contig_1306	contig_1306
contig_666	contig_666
contig_1197	contig_1197
contig_255	contig_255
contig_1347	contig_1347
contig_223	contig_223
contig_1279	contig_1279
contig_1431	contig_1431
contig_1295	contig_1295
contig_1208	contig_1208
contig_295	contig_295
contig_639	contig_639
contig_115	contig_115
contig_1269	contig_1269
contig_842	contig_842
contig_1397	contig_1397
contig_802	contig_802
contig_1495	contig_1495
contig_832	contig_832
contig_818	contig_818
contig_149	contig_149
contig_1190	contig_1184
contig_1346	contig_1346
contig_85	contig_85
contig_203	contig_203
contig_330	contig_330
contig_948	contig_948
contig_1056	contig_1056
contig_1380	contig_1380
contig_61	contig_61
contig_1267	contig_1267
contig_294	contig_294
contig_1310	contig_1310
contig_1403	contig_1403
contig_470	contig_470
contig_351	contig_351
contig_1209	contig_1209
contig_145	contig_145
contig_1436	contig_1436
contig_1244	contig_1244
contig_1427	contig_1427
contig_1047	contig_1047
contig_800	contig_800
contig_306	contig_308
contig_1399	contig_1399
contig_312	contig_312
contig_980	contig_980
contig_356	contig_356
contig_1227	contig_1227
contig_1142	contig_1142
contig_1013	contig_1013
contig_947	contig_947
contig_1200	contig_1200
contig_47	contig_47
contig_1045	contig_1045
contig_52	contig_52
contig_687	contig_687
contig_1194	contig_1194
contig_1365	contig_1365
contig_427	contig_427
contig_541	contig_541
contig_1195	contig_1195
contig_332	contig_332
contig_1220	contig_1220
contig_655	contig_655
contig_17	contig_17
contig_1158	contig_1158
contig_472	contig_472
contig_976	contig_976
contig_333	contig_333
contig_374	contig_374
contig_771	contig_771
contig_1135	contig_1135
contig_372	contig_372
contig_606	contig_606
contig_1465	contig_1465
contig_146	contig_146
contig_1192	contig_1192
contig_219	contig_219
contig_1508	contig_1508
contig_581	contig_581
contig_548	contig_548
contig_753	contig_753
contig_221	contig_221
contig_287	contig_287
contig_1152	contig_1152
contig_756	contig_756
contig_1143	contig_1143
contig_1292	contig_1292
contig_19	contig_19
contig_748	contig_748
contig_571	contig_571
contig_1352	contig_1352
contig_889	contig_889
contig_1370	contig_1370
contig_136	contig_136
contig_1490	contig_1490
contig_147	contig_147
contig_857	contig_857
contig_1219	contig_1219
contig_1411	contig_1411
contig_561	contig_561
contig_635	contig_635
contig_8	contig_8
contig_634	contig_634
contig_1030	contig_1030
contig_565	contig_565
contig_1452	contig_1452
contig_131	contig_131
contig_715	contig_715
contig_1489	contig_1489
contig_484	contig_484
contig_335	contig_335
contig_15	contig_15
contig_165	contig_165
contig_1100	contig_1100
contig_1070	contig_1070
contig_834	contig_834
contig_949	contig_949
contig_31	contig_31
contig_1409	contig_1409
contig_944	contig_944
contig_1211	contig_1211
contig_906	contig_906
contig_116	contig_116
contig_678	contig_678
contig_1362	contig_1362
contig_166	contig_166
contig_1426	contig_1426
contig_575	contig_575
contig_1023	contig_1023
contig_1224	contig_1224
contig_148	contig_148
contig_1005	contig_1005
contig_440	contig_440
contig_688	contig_688
contig_1535	contig_1535
contig_419	contig_419
contig_1338	contig_1338
contig_1009	contig_1009
contig_798	contig_798
contig_518	contig_518
contig_970	contig_970
contig_1133	contig_1133
contig_510	contig_511
contig_1132	contig_1132
contig_892	contig_892
contig_586	contig_586
contig_884	contig_884
contig_336	contig_336
contig_859	contig_859
contig_657	contig_657
contig_1	contig_1
contig_544	contig_544
contig_988	contig_988
contig_1464	contig_1464
contig_1471	contig_1471
contig_1171	contig_1171
contig_251	contig_251
contig_1406	contig_1406
contig_4	contig_4
contig_1264	contig_1264
contig_879	contig_879
contig_1364	contig_1364
contig_711	contig_708
contig_730	contig_730
contig_927	contig_927
contig_1182	contig_1182
contig_723	contig_723
contig_1520	contig_1520
contig_121	contig_121
contig_1113	contig_1113
contig_448	contig_448
contig_1389	contig_1389
contig_411	contig_411
contig_1334	contig_1334
contig_956	contig_956
contig_967	contig_967
contig_1521	contig_1521
contig_1294	contig_1294
contig_1041	contig_1041
contig_1085	contig_1085
contig_592	contig_592
contig_1410	contig_1410
contig_34	contig_32
contig_1524	contig_1524
contig_482	contig_482
contig_554	contig_554
contig_762	contig_762
contig_242	contig_242
contig_1187	contig_1184
contig_1286	contig_1286
contig_761	contig_761
contig_750	contig_750
contig_1004	contig_1004
contig_1049	contig_1049
contig_1063	contig_1063
contig_1025	contig_1025
contig_1392	contig_1392
contig_604	contig_604
contig_500	contig_500
contig_1278	contig_1278
contig_471	contig_471
contig_1068	contig_1068
contig_697	contig_697
contig_1147	contig_1147
contig_626	contig_626
contig_1008	contig_1008
contig_30	contig_30
contig_991	contig_991
contig_783	contig_783
contig_164	contig_164
contig_754	contig_754
contig_349	contig_349
contig_905	contig_905
contig_1179	contig_1179
contig_218	contig_218
contig_585	contig_585
contig_282	contig_282
contig_1077	contig_1077
contig_784	contig_784
contig_227	contig_227
contig_228	contig_228
contig_912	contig_912
contig_450	contig_450
contig_28	contig_28
contig_1003	contig_1003
contig_211	contig_211
contig_29	contig_29
contig_527	contig_527
contig_1002	contig_1002
contig_845	contig_845
contig_1251	contig_1251
contig_441	contig_441
contig_968	contig_968
contig_829	contig_829
contig_334	contig_334
contig_201	contig_201
contig_526	contig_526
contig_725	contig_725
contig_224	contig_224
contig_167	contig_167
contig_712	contig_712
contig_423	contig_424
contig_458	contig_458
contig_210	contig_210
contig_107	contig_107
contig_1203	contig_1203
contig_452	contig_452
contig_402	contig_402
contig_230	contig_230
contig_843	contig_843
contig_1213	contig_1213
contig_877	contig_877
contig_1202	contig_1202
contig_841	contig_841
contig_821	contig_821
contig_350	contig_350
contig_494	contig_494
contig_564	contig_564
contig_444	contig_444
contig_3	contig_3
contig_467	contig_467
contig_872	contig_872
contig_293	contig_293
contig_1230	contig_1230
contig_1138	contig_1138
contig_163	contig_163
contig_999	contig_999
contig_1120	contig_1120
contig_175	contig_175
contig_545	contig_545
contig_886	contig_886
contig_459	contig_459
contig_605	contig_605
contig_997	contig_997
contig_1507	contig_1507
contig_637	contig_637
contig_137	contig_137
contig_1075	contig_1075
contig_809	contig_809
contig_810	contig_810
contig_329	contig_327
contig_738	contig_738
contig_904	contig_904
contig_918	contig_918
contig_737	contig_734
contig_390	contig_390
contig_496	contig_496
contig_33	contig_33
contig_497	contig_497
contig_916	contig_916
contig_920	contig_921
contig_241	contig_241
