idx1	idx2	id1	id2	tani	gani	ani	cov	num_alns	len_ratio
925	3	contig_1508	contig_644	0.104659	0.845954	0.901940	0.937927	13	0.042536
4	294	contig_1484	contig_108	0.045192	0.042769	0.600700	0.071199	83	4.099970
294	4	contig_108	contig_1484	0.045192	0.055125	0.705385	0.078148	20	0.243904
4	324	contig_1484	contig_109	0.036684	0.035409	0.610774	0.057974	71	4.320748
324	4	contig_109	contig_1484	0.036684	0.042192	0.720779	0.058537	15	0.231441
4	1092	contig_1484	contig_107	0.010757	0.009662	0.572546	0.016876	19	44.870395
1092	4	contig_107	contig_1484	0.010757	0.059868	0.745902	0.080263	1	0.022286
5	671	contig_825	contig_1067	0.021866	0.016486	0.618625	0.026649	27	9.264404
671	5	contig_1067	contig_825	0.021866	0.071712	0.709066	0.101136	11	0.107940
6	104	contig_1096	contig_1326	0.143306	0.118325	0.715519	0.165370	134	1.890956
104	6	contig_1326	contig_1096	0.143306	0.190544	0.751316	0.253614	104	0.528833
6	160	contig_1096	contig_1290	0.140417	0.115378	0.717956	0.160704	123	2.269674
160	6	contig_1290	contig_1096	0.140417	0.197248	0.756750	0.260651	74	0.440592
7	90	contig_267	contig_271	0.120181	0.122296	0.734360	0.166534	154	1.768132
90	7	contig_271	contig_267	0.120181	0.116441	0.765414	0.152128	80	0.565569
7	111	contig_267	contig_1496	0.106637	0.102399	0.716611	0.142894	132	1.845643
111	7	contig_1496	contig_267	0.106637	0.114460	0.773956	0.147889	61	0.541817
7	122	contig_267	contig_1543	0.118727	0.121770	0.711798	0.171074	168	1.895465
122	7	contig_1543	contig_267	0.118727	0.112960	0.737433	0.153180	68	0.527575
7	124	contig_267	contig_921	0.107680	0.103116	0.693338	0.148724	153	1.897413
124	7	contig_921	contig_267	0.107680	0.116340	0.730499	0.159261	77	0.527033
7	139	contig_267	contig_1111	0.380621	0.354717	0.810210	0.437809	234	2.019041
139	7	contig_1111	contig_267	0.380621	0.432923	0.852384	0.507896	128	0.495285
7	140	contig_267	contig_246	0.188465	0.183372	0.735245	0.249403	205	2.023271
140	7	contig_246	contig_267	0.188465	0.198769	0.775041	0.256462	104	0.494249
7	143	contig_267	contig_268	0.382924	0.350145	0.811699	0.431373	225	2.053048
143	7	contig_268	contig_267	0.382924	0.450222	0.852754	0.527963	143	0.487081
7	174	contig_267	contig_1499	0.402510	0.360468	0.808229	0.445997	242	2.269405
174	7	contig_1499	contig_267	0.402510	0.497921	0.847621	0.587434	126	0.440644
7	419	contig_267	contig_274	0.091645	0.090850	0.633878	0.143324	148	4.501219
419	7	contig_274	contig_267	0.091645	0.095224	0.746487	0.127563	27	0.222162
7	434	contig_267	contig_1161	0.084518	0.088444	0.625014	0.141508	154	4.676600
434	7	contig_1161	contig_267	0.084518	0.066155	0.719028	0.092006	22	0.213831
7	542	contig_267	contig_270	0.262801	0.210087	0.739238	0.284194	178	5.932149
542	7	contig_270	contig_267	0.262801	0.575506	0.848308	0.678416	68	0.168573
7	642	contig_267	contig_1110	0.137910	0.116529	0.663191	0.175710	143	7.821331
642	7	contig_1110	contig_267	0.137910	0.305133	0.790765	0.385871	27	0.127855
7	697	contig_267	contig_1523	0.086660	0.084621	0.615670	0.137445	143	9.173462
697	7	contig_1523	contig_267	0.086660	0.105363	0.728283	0.144673	16	0.109010
7	712	contig_267	contig_919	0.074759	0.076226	0.621025	0.122742	136	9.516980
712	7	contig_919	contig_267	0.074759	0.060794	0.733090	0.082929	8	0.105075
7	1137	contig_267	contig_916	0.019249	0.013891	0.679657	0.020438	17	103.758678
1137	7	contig_916	contig_267	0.019249	0.575207	0.846715	0.679339	2	0.009638
8	30	contig_383	contig_1333	0.039321	0.037641	0.609953	0.061711	74	1.459553
30	8	contig_1333	contig_383	0.039321	0.041773	0.644928	0.064772	59	0.685141
8	103	contig_383	contig_1439	0.042711	0.036451	0.604372	0.060312	73	1.803689
103	8	contig_1439	contig_383	0.042711	0.054001	0.650140	0.083060	46	0.554419
8	223	contig_383	contig_673	0.114110	0.092615	0.727548	0.127297	100	2.862607
223	8	contig_673	contig_383	0.114110	0.175642	0.856758	0.205008	38	0.349332
8	251	contig_383	contig_94	0.048809	0.044828	0.632486	0.070876	66	3.210956
251	8	contig_94	contig_383	0.048809	0.061593	0.790590	0.077908	23	0.311434
8	300	contig_383	contig_1087	0.010543	0.008313	0.604678	0.013748	16	3.805948
300	8	contig_1087	contig_383	0.010543	0.019032	0.625755	0.030414	9	0.262747
8	312	contig_383	contig_96	0.065610	0.052257	0.664894	0.078594	73	3.888035
312	8	contig_96	contig_383	0.065610	0.117529	0.759596	0.154726	35	0.257199
8	461	contig_383	contig_384	0.200752	0.137025	0.810847	0.168990	67	4.856931
461	8	contig_384	contig_383	0.200752	0.510269	0.922490	0.553143	40	0.205891
8	509	contig_383	contig_385	0.280073	0.179168	0.857022	0.209059	66	5.502831
509	8	contig_385	contig_383	0.280073	0.835339	0.938469	0.890108	24	0.181725
8	552	contig_383	contig_594	0.021519	0.020581	0.649087	0.031708	35	6.010728
552	8	contig_594	contig_383	0.021519	0.027158	0.751337	0.036146	6	0.166369
8	583	contig_383	contig_540	0.027846	0.021080	0.589213	0.035776	40	6.530134
583	8	contig_540	contig_383	0.027846	0.072029	0.683267	0.105418	20	0.153136
8	602	contig_383	contig_672	0.049580	0.039024	0.638684	0.061100	63	6.953600
602	8	contig_672	contig_383	0.049580	0.122987	0.797679	0.154182	16	0.143810
8	638	contig_383	contig_615	0.022495	0.018812	0.620032	0.030341	25	7.731601
638	8	contig_615	contig_383	0.022495	0.050970	0.703259	0.072476	8	0.129339
8	723	contig_383	contig_125	0.026427	0.024311	0.616639	0.039426	44	9.760358
723	8	contig_125	contig_383	0.026427	0.047081	0.757576	0.062147	7	0.102455
8	794	contig_383	contig_617	0.087420	0.053447	0.801543	0.066680	31	12.612655
794	8	contig_617	contig_383	0.087420	0.515920	0.904051	0.570675	8	0.079285
8	808	contig_383	contig_616	0.056499	0.035438	0.772791	0.045857	27	13.104298
808	8	contig_616	contig_383	0.056499	0.332491	0.887514	0.374631	13	0.076311
8	830	contig_383	contig_625	0.086795	0.054395	0.775206	0.070169	41	14.058092
830	8	contig_625	contig_383	0.086795	0.542269	0.916699	0.591546	14	0.071133
8	1052	contig_383	contig_626	0.034039	0.022318	0.743439	0.030019	26	27.851769
1052	8	contig_626	contig_383	0.034039	0.360502	0.873102	0.412897	10	0.035904
8	1090	contig_383	contig_458	0.038754	0.022028	0.808737	0.027238	6	40.332685
1090	8	contig_458	contig_383	0.038754	0.713359	0.908340	0.785344	4	0.024794
8	1119	contig_383	contig_459	0.012563	0.008313	0.723077	0.011496	8	53.201882
1119	8	contig_459	contig_383	0.012563	0.238666	0.815789	0.292558	3	0.018796
8	1122	contig_383	contig_1507	0.014351	0.010242	0.690141	0.014841	13	54.222319
1122	8	contig_1507	contig_383	0.014351	0.237140	0.912752	0.259808	2	0.018443
9	17	contig_184	contig_1054	0.215061	0.165056	0.825026	0.200061	105	1.155413
17	9	contig_1054	contig_184	0.215061	0.272838	0.842962	0.323666	88	0.865491
9	43	contig_184	contig_473	0.065246	0.066710	0.685195	0.097359	84	1.478029
43	9	contig_473	contig_184	0.065246	0.063083	0.765802	0.082375	39	0.676577
9	106	contig_184	contig_189	0.323890	0.281032	0.827313	0.339692	126	1.708694
106	9	contig_189	contig_184	0.323890	0.397121	0.856453	0.463681	83	0.585242
9	141	contig_184	contig_185	0.069030	0.055138	0.790823	0.069722	31	1.894876
141	9	contig_185	contig_184	0.069030	0.095353	0.824366	0.115669	32	0.527739
9	229	contig_184	contig_186	0.294906	0.225299	0.830761	0.271196	78	2.773231
229	9	contig_186	contig_184	0.294906	0.487942	0.884355	0.551749	57	0.360590
9	423	contig_184	contig_188	0.161859	0.109680	0.802116	0.136738	54	4.250108
423	9	contig_188	contig_184	0.161859	0.383625	0.879602	0.436135	37	0.235288
9	640	contig_184	contig_192	0.037369	0.032266	0.607692	0.053096	45	7.315986
640	9	contig_192	contig_184	0.037369	0.074701	0.779221	0.095867	7	0.136687
9	809	contig_184	contig_665	0.060418	0.040162	0.713206	0.056312	37	12.381374
809	9	contig_665	contig_184	0.060418	0.311209	0.845449	0.368099	14	0.080766
10	488	contig_815	contig_1052	0.095909	0.071954	0.678157	0.106102	66	4.715589
488	10	contig_1052	contig_815	0.095909	0.208872	0.737844	0.283085	30	0.212063
12	150	contig_434	contig_1558	0.067736	0.063923	0.699089	0.091437	80	1.884511
150	12	contig_1558	contig_434	0.067736	0.074922	0.753273	0.099462	44	0.530642
12	710	contig_434	contig_436	0.066064	0.045976	0.701920	0.065500	43	8.529998
710	12	contig_436	contig_434	0.066064	0.237419	0.772750	0.307239	18	0.117233
12	902	contig_434	contig_687	0.028822	0.022802	0.688604	0.033113	30	17.083232
902	12	contig_687	contig_434	0.028822	0.131659	0.844660	0.155872	5	0.058537
12	981	contig_434	contig_688	0.030847	0.025388	0.628785	0.040377	39	21.251130
981	12	contig_688	contig_434	0.030847	0.146837	0.802469	0.182982	7	0.047056
14	92	contig_133	contig_531	0.049963	0.055117	0.615497	0.089549	83	1.519988
92	14	contig_531	contig_133	0.049963	0.042130	0.649192	0.064896	43	0.657900
14	107	contig_133	contig_536	0.042592	0.040699	0.654665	0.062168	60	1.561331
107	14	contig_536	contig_133	0.042592	0.045547	0.662151	0.068787	40	0.640479
14	176	contig_133	contig_539	0.042289	0.042191	0.643345	0.065581	67	1.960041
176	14	contig_539	contig_133	0.042289	0.042482	0.660603	0.064307	36	0.510193
14	207	contig_133	contig_1095	0.048585	0.048962	0.641966	0.076269	72	2.312899
207	14	contig_1095	contig_133	0.048585	0.047714	0.678528	0.070319	32	0.432358
14	918	contig_133	contig_1135	0.009299	0.006659	0.649091	0.010259	10	16.928639
918	14	contig_1135	contig_133	0.009299	0.053994	0.633333	0.085254	4	0.059071
16	41	contig_1131	contig_1519	0.225143	0.214747	0.761405	0.282041	140	1.288843
41	16	contig_1519	contig_1131	0.225143	0.238541	0.777051	0.306982	108	0.775890
16	208	contig_1131	contig_669	0.078486	0.070233	0.653623	0.107452	85	2.217752
208	16	contig_669	contig_1131	0.078486	0.096788	0.703262	0.137627	45	0.450907
16	256	contig_1131	contig_795	0.117452	0.095149	0.692449	0.137409	94	2.698109
256	16	contig_795	contig_1131	0.117452	0.177626	0.730454	0.243172	55	0.370630
16	385	contig_1131	contig_720	0.018288	0.012458	0.761905	0.016351	11	3.512375
385	16	contig_720	contig_1131	0.018288	0.038767	0.817003	0.047450	7	0.284708
16	425	contig_1131	contig_718	0.018732	0.011816	0.699309	0.016896	9	3.720182
425	16	contig_718	contig_1131	0.018732	0.044464	0.709007	0.062713	11	0.268804
16	701	contig_1131	contig_793	0.155210	0.108094	0.698578	0.154734	70	7.582583
701	16	contig_793	contig_1131	0.155210	0.512472	0.772070	0.663764	20	0.131881
16	731	contig_1131	contig_792	0.142378	0.099879	0.688078	0.145157	58	8.313967
731	16	contig_792	contig_1131	0.142378	0.495711	0.772120	0.642013	23	0.120280
17	43	contig_1054	contig_473	0.038184	0.038381	0.629474	0.060974	55	1.279221
43	17	contig_473	contig_1054	0.038184	0.037930	0.674117	0.056267	38	0.781726
17	106	contig_1054	contig_189	0.209002	0.217685	0.794189	0.274097	98	1.478860
106	17	contig_189	contig_1054	0.209002	0.196162	0.811012	0.241873	79	0.676196
17	229	contig_1054	contig_186	0.034200	0.033702	0.616769	0.054642	51	2.400208
229	17	contig_186	contig_1054	0.034200	0.035396	0.672646	0.052622	20	0.416631
17	640	contig_1054	contig_192	0.049295	0.035727	0.659289	0.054190	33	6.331922
640	17	contig_192	contig_1054	0.049295	0.135209	0.765328	0.176668	17	0.157930
18	81	contig_1062	contig_1007	0.047887	0.047595	0.612058	0.077762	70	1.391889
81	18	contig_1007	contig_1062	0.047887	0.048294	0.646279	0.074727	51	0.718448
19	549	contig_708	contig_20	0.083258	0.081917	0.647002	0.126610	114	4.687745
549	19	contig_20	contig_708	0.083258	0.089544	0.638472	0.140247	29	0.213322
19	652	contig_708	contig_173	0.057653	0.055917	0.600745	0.093080	78	6.348925
652	19	contig_173	contig_708	0.057653	0.068671	0.724044	0.094843	13	0.157507
19	824	contig_708	contig_707	0.073471	0.067978	0.651477	0.104345	92	10.816998
824	19	contig_707	contig_708	0.073471	0.132892	0.725301	0.183223	15	0.092447
19	1010	contig_708	contig_711	0.127358	0.084202	0.811406	0.103773	44	19.790388
1010	19	contig_711	contig_708	0.127358	0.981422	0.981422	1.000000	1	0.050530
19	1088	contig_708	contig_712	0.088138	0.075447	0.721366	0.104590	71	30.378797
1088	19	contig_712	contig_708	0.088138	0.473652	0.907363	0.522009	8	0.032918
22	484	contig_1394	contig_940	0.022334	0.019061	0.579634	0.032885	27	3.846033
484	22	contig_940	contig_1394	0.022334	0.034921	0.589136	0.059275	13	0.260008
22	884	contig_1394	contig_1436	0.012810	0.008822	0.624620	0.014124	13	13.193713
884	22	contig_1436	contig_1394	0.012810	0.065421	0.650704	0.100538	6	0.075794
23	450	contig_1116	contig_1115	0.322819	0.215836	0.907325	0.237881	36	3.563553
450	23	contig_1115	contig_1116	0.322819	0.704058	0.959912	0.733461	11	0.280619
25	29	contig_1477	contig_123	0.119778	0.115297	0.794828	0.145059	66	1.024661
29	25	contig_123	contig_1477	0.119778	0.124369	0.783973	0.158639	75	0.975933
25	519	contig_1477	contig_124	0.047689	0.033694	0.717517	0.046959	26	4.006428
519	25	contig_124	contig_1477	0.047689	0.103757	0.768097	0.135084	19	0.249599
29	519	contig_123	contig_124	0.333389	0.222155	0.887183	0.250405	56	3.910005
519	29	contig_124	contig_123	0.333389	0.768311	0.946676	0.811589	27	0.255754
29	723	contig_123	contig_125	0.061887	0.047006	0.661669	0.071042	47	6.777464
723	29	contig_125	contig_123	0.061887	0.162743	0.798921	0.203704	18	0.147548
29	992	contig_123	contig_892	0.004717	0.003195	0.618834	0.005164	4	16.546360
992	29	contig_892	contig_123	0.004717	0.029885	0.750000	0.039847	2	0.060436
30	103	contig_1333	contig_1439	0.039641	0.036986	0.622433	0.059421	47	1.235782
103	30	contig_1439	contig_1333	0.039641	0.042922	0.678899	0.063223	38	0.809204
30	379	contig_1333	contig_1191	0.053771	0.050081	0.625256	0.080097	55	2.897525
379	30	contig_1191	contig_1333	0.053771	0.064463	0.679083	0.094927	26	0.345122
30	491	contig_1333	contig_1069	0.112776	0.089601	0.697097	0.128535	64	3.561006
491	30	contig_1069	contig_1333	0.112776	0.195303	0.818277	0.238676	31	0.280820
30	552	contig_1333	contig_594	0.022905	0.015419	0.672467	0.022928	15	4.118199
552	30	contig_594	contig_1333	0.022905	0.053735	0.656434	0.081859	11	0.242825
30	583	contig_1333	contig_540	0.040472	0.034381	0.607380	0.056605	42	4.474066
583	30	contig_540	contig_1333	0.040472	0.067724	0.727991	0.093028	14	0.223510
30	723	contig_1333	contig_125	0.031480	0.024923	0.658400	0.037854	27	6.687225
723	30	contig_125	contig_1333	0.031480	0.075330	0.720721	0.104520	9	0.149539
30	830	contig_1333	contig_625	0.025385	0.020652	0.634921	0.032527	23	9.631781
830	30	contig_625	contig_1333	0.025385	0.070976	0.751196	0.094485	7	0.103823
30	920	contig_1333	contig_606	0.023164	0.019009	0.574061	0.033114	22	13.527302
920	30	contig_606	contig_1333	0.023164	0.079365	0.726744	0.109206	6	0.073925
31	444	contig_1159	contig_852	0.049686	0.045032	0.595282	0.075648	60	3.212309
444	31	contig_852	contig_1159	0.049686	0.064635	0.648751	0.099630	28	0.311303
31	500	contig_1159	contig_1162	0.068983	0.058884	0.632216	0.093140	66	3.632270
500	31	contig_1162	contig_1159	0.068983	0.105663	0.744591	0.141907	25	0.275310
31	571	contig_1159	contig_392	0.056019	0.045572	0.670003	0.068017	46	4.314425
571	31	contig_392	contig_1159	0.056019	0.101094	0.723188	0.139789	20	0.231781
31	718	contig_1159	contig_786	0.051597	0.053249	0.734694	0.072478	63	6.552615
718	31	contig_786	contig_1159	0.051597	0.040769	0.596847	0.068308	8	0.152611
31	1088	contig_1159	contig_712	0.035403	0.030898	0.661639	0.046699	34	26.405456
1088	31	contig_712	contig_1159	0.035403	0.154371	0.838384	0.184129	4	0.037871
32	272	contig_76	contig_1058	0.133005	0.103345	0.692867	0.149156	66	2.413024
272	32	contig_1058	contig_76	0.133005	0.204577	0.735722	0.278062	44	0.414418
32	470	contig_76	contig_488	0.295197	0.205652	0.783993	0.262314	60	3.373011
470	32	contig_488	contig_76	0.295197	0.597231	0.828020	0.721276	53	0.296471
32	628	contig_76	contig_1204	0.079469	0.056638	0.642838	0.088106	26	5.173542
628	32	contig_1204	contig_76	0.079469	0.197584	0.743343	0.265804	23	0.193291
32	806	contig_76	contig_1253	0.016151	0.010285	0.627338	0.016395	12	8.853801
806	32	contig_1253	contig_76	0.016151	0.068087	0.649402	0.104845	8	0.112946
32	914	contig_76	contig_976	0.037447	0.023471	0.708689	0.033119	13	13.280702
914	32	contig_976	contig_76	0.037447	0.223058	0.751848	0.296679	10	0.075297
32	955	contig_76	contig_715	0.039066	0.024509	0.652638	0.037554	15	15.070032
955	32	contig_715	contig_76	0.039066	0.258443	0.711350	0.363313	11	0.066357
32	1014	contig_76	contig_723	0.058199	0.034889	0.687907	0.050717	15	17.517355
1014	32	contig_723	contig_76	0.058199	0.466529	0.766984	0.608264	7	0.057086
33	552	contig_424	contig_594	0.028066	0.017461	0.702574	0.024853	16	4.079250
552	33	contig_594	contig_424	0.028066	0.071325	0.695570	0.102542	12	0.245143
33	583	contig_424	contig_540	0.021824	0.012391	0.676585	0.018314	11	4.431751
583	33	contig_540	contig_424	0.021824	0.063629	0.758448	0.083893	11	0.225644
33	723	contig_424	contig_125	0.015006	0.009453	0.804435	0.011751	6	6.623980
723	33	contig_125	contig_424	0.015006	0.051789	0.857143	0.060421	3	0.150967
33	1089	contig_424	contig_423	0.075148	0.040135	0.948488	0.042314	4	26.183623
1089	33	contig_423	contig_424	0.075148	0.991935	0.991935	1.000000	1	0.038192
34	36	contig_891	contig_1177	0.193704	0.190786	0.755724	0.252454	94	1.017745
36	34	contig_1177	contig_891	0.193704	0.196675	0.747575	0.263084	102	0.982565
34	276	contig_891	contig_966	0.051318	0.045189	0.628363	0.071915	43	2.421433
276	34	contig_966	contig_891	0.051318	0.066162	0.687087	0.096293	24	0.412979
34	435	contig_891	contig_1236	0.117442	0.086030	0.682714	0.126012	52	3.132266
435	34	contig_1236	contig_891	0.117442	0.215830	0.722695	0.298646	35	0.319258
34	550	contig_891	contig_925	0.091290	0.070028	0.671092	0.104349	45	4.007370
550	34	contig_925	contig_891	0.091290	0.176493	0.737600	0.239280	20	0.249540
34	734	contig_891	contig_1176	0.026549	0.017507	0.628645	0.027849	13	6.844695
734	34	contig_1176	contig_891	0.026549	0.088442	0.736054	0.120157	10	0.146099
34	992	contig_891	contig_892	0.028373	0.016552	0.823040	0.020110	8	16.041762
992	34	contig_892	contig_891	0.028373	0.218008	0.866058	0.251724	3	0.062337
35	223	contig_1545	contig_673	0.202823	0.169791	0.744670	0.228009	89	1.912501
223	35	contig_673	contig_1545	0.202823	0.265995	0.778526	0.341664	55	0.522876
35	251	contig_1545	contig_94	0.267974	0.206108	0.771045	0.267310	56	2.145232
251	35	contig_94	contig_1545	0.267974	0.400692	0.815831	0.491146	46	0.466150
35	312	contig_1545	contig_96	0.322415	0.237058	0.779951	0.303940	60	2.597587
312	35	contig_96	contig_1545	0.322415	0.544136	0.813458	0.668917	42	0.384973
35	602	contig_1545	contig_672	0.160174	0.120142	0.772397	0.155544	47	4.645684
602	35	contig_672	contig_1545	0.160174	0.346154	0.833603	0.415250	29	0.215254
35	644	contig_1545	contig_774	0.042489	0.038748	0.641179	0.060432	43	5.199725
644	35	contig_774	contig_1545	0.042489	0.061945	0.680880	0.090977	13	0.192318
35	794	contig_1545	contig_617	0.039133	0.030733	0.641709	0.047893	32	8.426485
794	35	contig_617	contig_1545	0.039133	0.109917	0.703896	0.156155	10	0.118673
35	1122	contig_1545	contig_1507	0.013818	0.008905	0.690299	0.012900	8	36.225806
1122	35	contig_1507	contig_1545	0.013818	0.191805	0.733333	0.261552	3	0.027605
36	157	contig_1177	contig_285	0.112930	0.104183	0.712789	0.146163	57	1.398857
157	36	contig_285	contig_1177	0.112930	0.125166	0.728334	0.171852	46	0.714869
36	196	contig_1177	contig_298	0.105146	0.090644	0.718220	0.126206	55	1.677636
196	36	contig_298	contig_1177	0.105146	0.129476	0.735124	0.176128	47	0.596077
36	276	contig_1177	contig_966	0.087250	0.066871	0.691901	0.096648	43	2.379215
276	36	contig_966	contig_1177	0.087250	0.135735	0.731153	0.185646	41	0.420307
36	435	contig_1177	contig_1236	0.127491	0.096113	0.685863	0.140135	53	3.077654
435	36	contig_1236	contig_1177	0.127491	0.224059	0.718225	0.311962	39	0.324923
36	550	contig_1177	contig_925	0.079012	0.055276	0.689091	0.080216	33	3.937500
550	36	contig_925	contig_1177	0.079012	0.172473	0.744321	0.231719	21	0.253968
36	598	contig_1177	contig_1315	0.040376	0.033885	0.619556	0.054693	39	4.576085
598	36	contig_1315	contig_1177	0.040376	0.070078	0.696903	0.100556	15	0.218527
36	637	contig_1177	contig_1022	0.014089	0.008192	0.639469	0.012810	10	5.112340
637	36	contig_1022	contig_1177	0.014089	0.044240	0.624561	0.070834	11	0.195605
36	734	contig_1177	contig_1176	0.080096	0.052092	0.794587	0.065558	21	6.725356
734	36	contig_1176	contig_1177	0.080096	0.268432	0.889009	0.301945	7	0.148691
36	841	contig_1177	contig_629	0.009233	0.005348	0.733333	0.007292	4	9.693450
841	36	contig_629	contig_1177	0.009233	0.046890	0.802419	0.058435	3	0.103162
36	894	contig_1177	contig_1227	0.011222	0.007900	0.714286	0.011060	9	12.043033
894	36	contig_1227	contig_1177	0.011222	0.051230	0.643382	0.079625	5	0.083036
36	992	contig_1177	contig_892	0.010515	0.008945	0.657143	0.013612	11	15.762069
992	36	contig_892	contig_1177	0.010515	0.035249	0.741935	0.047510	2	0.063443
36	1011	contig_1177	contig_730	0.010322	0.004011	0.789474	0.005080	1	16.750407
1011	36	contig_730	contig_1177	0.010322	0.116042	0.776567	0.149430	3	0.059700
37	206	contig_1549	contig_1336	0.061782	0.050474	0.679270	0.074307	43	1.741790
206	37	contig_1336	contig_1549	0.061782	0.081477	0.699853	0.116420	39	0.574122
37	209	contig_1549	contig_1134	0.033005	0.031300	0.596244	0.052495	39	1.757863
209	37	contig_1134	contig_1549	0.033005	0.036002	0.652789	0.055151	27	0.568872
37	747	contig_1549	contig_1395	0.038350	0.028170	0.632540	0.044535	25	7.107199
747	37	contig_1395	contig_1549	0.038350	0.110702	0.775460	0.142757	9	0.140702
37	984	contig_1549	contig_1338	0.029568	0.019396	0.766310	0.025311	12	15.322885
984	37	contig_1338	contig_1549	0.029568	0.185423	0.856894	0.216390	3	0.065262
38	66	contig_519	contig_213	0.168961	0.163569	0.726804	0.225052	88	1.096927
66	38	contig_213	contig_519	0.168961	0.174875	0.740796	0.236063	88	0.911638
38	98	contig_519	contig_612	0.075670	0.047661	0.828755	0.057510	22	1.170041
98	38	contig_612	contig_519	0.075670	0.108441	0.690004	0.157161	69	0.854671
38	218	contig_519	contig_611	0.368208	0.294952	0.828021	0.356214	71	1.836499
218	38	contig_611	contig_519	0.368208	0.502742	0.855985	0.587326	61	0.544514
39	61	contig_490	contig_929	0.197808	0.187468	0.766202	0.244671	92	1.081326
61	39	contig_929	contig_490	0.197808	0.208990	0.770481	0.271246	99	0.924791
39	541	contig_490	contig_642	0.226849	0.155260	0.821055	0.189098	44	3.795893
541	39	contig_642	contig_490	0.226849	0.498594	0.892132	0.558879	31	0.263443
41	208	contig_1519	contig_669	0.075115	0.076946	0.647866	0.118769	72	1.720730
208	41	contig_669	contig_1519	0.075115	0.071965	0.699538	0.102875	34	0.581149
41	256	contig_1519	contig_795	0.331500	0.270955	0.774305	0.349934	102	2.093435
256	41	contig_795	contig_1519	0.331500	0.458246	0.854220	0.536450	60	0.477684
41	477	contig_1519	contig_389	0.060100	0.050578	0.637168	0.079380	47	3.239516
477	41	contig_389	contig_1519	0.060100	0.090946	0.693738	0.131096	19	0.308688
42	396	contig_1169	contig_6	0.098240	0.076614	0.678158	0.112973	37	2.748791
396	42	contig_6	contig_1169	0.098240	0.157688	0.711437	0.221647	31	0.363796
43	106	contig_473	contig_189	0.067339	0.066152	0.679411	0.097367	54	1.156063
106	43	contig_189	contig_473	0.067339	0.068712	0.721306	0.095260	46	0.865005
43	141	contig_473	contig_185	0.046504	0.047992	0.694576	0.069095	33	1.282029
141	43	contig_185	contig_473	0.046504	0.044597	0.770045	0.057915	18	0.780014
43	229	contig_473	contig_186	0.101073	0.079609	0.821225	0.096939	35	1.876304
229	43	contig_186	contig_473	0.101073	0.141347	0.830100	0.170277	32	0.532963
43	277	contig_473	contig_480	0.398870	0.301305	0.841991	0.357849	61	2.303552
277	43	contig_480	contig_473	0.398870	0.623617	0.876823	0.711223	47	0.434112
43	623	contig_473	contig_1421	0.039724	0.029051	0.611758	0.047488	28	4.718932
623	43	contig_1421	contig_473	0.039724	0.090089	0.676471	0.133175	16	0.211912
43	640	contig_473	contig_192	0.122727	0.078753	0.836271	0.094172	24	4.949826
640	43	contig_192	contig_473	0.122727	0.340388	0.901121	0.377739	13	0.202027
44	108	contig_871	contig_811	0.091779	0.085011	0.721094	0.117892	55	1.156237
