Description	Count	Contig
transcription regulation	0	contig_1460
unknown function	63	contig_1460
VFDB_Virulence_Factors	0	contig_1460
CARD_AMR	0	contig_1460
ACR_anti_crispr	0	contig_1460
Defensefinder	0	contig_1460
Netflax	0	contig_1460
CDS	332	contig_200
connector	2	contig_200
DNA, RNA and nucleotide metabolism	31	contig_200
head and packaging	9	contig_200
integration and excision	0	contig_200
lysis	2	contig_200
moron, auxiliary metabolic gene and host takeover	2	contig_200
other	5	contig_200
tail	16	contig_200
transcription regulation	0	contig_200
unknown function	265	contig_200
VFDB_Virulence_Factors	0	contig_200
CARD_AMR	0	contig_200
ACR_anti_crispr	0	contig_200
Defensefinder	0	contig_200
Netflax	0	contig_200
CDS	284	contig_267
connector	1	contig_267
DNA, RNA and nucleotide metabolism	9	contig_267
head and packaging	10	contig_267
integration and excision	0	contig_267
lysis	3	contig_267
moron, auxiliary metabolic gene and host takeover	0	contig_267
other	2	contig_267
tail	6	contig_267
transcription regulation	0	contig_267
unknown function	253	contig_267
VFDB_Virulence_Factors	0	contig_267
CARD_AMR	0	contig_267
ACR_anti_crispr	0	contig_267
Defensefinder	0	contig_267
Netflax	0	contig_267
CDS	62	contig_400
connector	0	contig_400
DNA, RNA and nucleotide metabolism	1	contig_400
head and packaging	1	contig_400
integration and excision	0	contig_400
lysis	0	contig_400
moron, auxiliary metabolic gene and host takeover	0	contig_400
other	0	contig_400
tail	1	contig_400
transcription regulation	0	contig_400
unknown function	59	contig_400
VFDB_Virulence_Factors	0	contig_400
CARD_AMR	0	contig_400
ACR_anti_crispr	0	contig_400
Defensefinder	0	contig_400
Netflax	0	contig_400
CDS	231	contig_58
connector	3	contig_58
DNA, RNA and nucleotide metabolism	23	contig_58
head and packaging	13	contig_58
integration and excision	0	contig_58
lysis	2	contig_58
moron, auxiliary metabolic gene and host takeover	1	contig_58
other	6	contig_58
tail	13	contig_58
transcription regulation	0	contig_58
unknown function	170	contig_58
VFDB_Virulence_Factors	0	contig_58
CARD_AMR	0	contig_58
ACR_anti_crispr	0	contig_58
Defensefinder	0	contig_58
Netflax	0	contig_58
CDS	224	contig_644
connector	1	contig_644
DNA, RNA and nucleotide metabolism	11	contig_644
head and packaging	20	contig_644
integration and excision	0	contig_644
lysis	1	contig_644
moron, auxiliary metabolic gene and host takeover	0	contig_644
other	4	contig_644
tail	3	contig_644
transcription regulation	1	contig_644
unknown function	183	contig_644
VFDB_Virulence_Factors	0	contig_644
CARD_AMR	0	contig_644
ACR_anti_crispr	0	contig_644
Defensefinder	0	contig_644
Netflax	0	contig_644
CDS	163	contig_815
connector	2	contig_815
DNA, RNA and nucleotide metabolism	14	contig_815
head and packaging	10	contig_815
integration and excision	0	contig_815
lysis	2	contig_815
moron, auxiliary metabolic gene and host takeover	0	contig_815
other	1	contig_815
tail	4	contig_815
transcription regulation	1	contig_815
unknown function	129	contig_815
VFDB_Virulence_Factors	0	contig_815
CARD_AMR	0	contig_815
ACR_anti_crispr	0	contig_815
Defensefinder	0	contig_815
Netflax	0	contig_815
CDS	38	contig_820
connector	0	contig_820
DNA, RNA and nucleotide metabolism	1	contig_820
head and packaging	3	contig_820
integration and excision	0	contig_820
lysis	1	contig_820
moron, auxiliary metabolic gene and host takeover	0	contig_820
other	0	contig_820
tail	3	contig_820
transcription regulation	0	contig_820
unknown function	30	contig_820
VFDB_Virulence_Factors	0	contig_820
CARD_AMR	0	contig_820
ACR_anti_crispr	0	contig_820
Defensefinder	0	contig_820
Netflax	0	contig_820
