Description	Count	contig
lysis	3	contig_1057
moron, auxiliary metabolic gene and host takeover	1	contig_1057
other	0	contig_1057
tail	0	contig_1057
transcription regulation	1	contig_1057
unknown function	139	contig_1057
tRNAs	0	contig_1057
CRISPRs	0	contig_1057
tmRNAs	0	contig_1057
VFDB_Virulence_Factors	0	contig_1057
CARD_AMR_Genes	0	contig_1057
CDS	198	contig_1062
connector	0	contig_1062
DNA, RNA and nucleotide metabolism	3	contig_1062
head and packaging	2	contig_1062
integration and excision	0	contig_1062
lysis	0	contig_1062
moron, auxiliary metabolic gene and host takeover	0	contig_1062
other	4	contig_1062
tail	2	contig_1062
transcription regulation	0	contig_1062
unknown function	187	contig_1062
tRNAs	0	contig_1062
CRISPRs	0	contig_1062
tmRNAs	0	contig_1062
VFDB_Virulence_Factors	0	contig_1062
CARD_AMR_Genes	0	contig_1062
CDS	46	contig_1064
connector	0	contig_1064
DNA, RNA and nucleotide metabolism	0	contig_1064
head and packaging	0	contig_1064
integration and excision	0	contig_1064
lysis	0	contig_1064
moron, auxiliary metabolic gene and host takeover	0	contig_1064
other	2	contig_1064
tail	1	contig_1064
transcription regulation	0	contig_1064
unknown function	43	contig_1064
tRNAs	0	contig_1064
CRISPRs	0	contig_1064
tmRNAs	0	contig_1064
VFDB_Virulence_Factors	0	contig_1064
CARD_AMR_Genes	0	contig_1064
CDS	37	contig_1065
connector	0	contig_1065
DNA, RNA and nucleotide metabolism	1	contig_1065
head and packaging	0	contig_1065
integration and excision	0	contig_1065
lysis	1	contig_1065
moron, auxiliary metabolic gene and host takeover	0	contig_1065
other	0	contig_1065
tail	1	contig_1065
transcription regulation	0	contig_1065
unknown function	34	contig_1065
tRNAs	0	contig_1065
CRISPRs	0	contig_1065
tmRNAs	0	contig_1065
VFDB_Virulence_Factors	0	contig_1065
CARD_AMR_Genes	0	contig_1065
CDS	52	contig_1080
connector	0	contig_1080
DNA, RNA and nucleotide metabolism	0	contig_1080
head and packaging	5	contig_1080
integration and excision	0	contig_1080
lysis	1	contig_1080
moron, auxiliary metabolic gene and host takeover	0	contig_1080
other	1	contig_1080
tail	0	contig_1080
transcription regulation	0	contig_1080
unknown function	45	contig_1080
tRNAs	0	contig_1080
CRISPRs	0	contig_1080
tmRNAs	0	contig_1080
VFDB_Virulence_Factors	0	contig_1080
CARD_AMR_Genes	0	contig_1080
CDS	77	contig_1087
connector	0	contig_1087
DNA, RNA and nucleotide metabolism	0	contig_1087
head and packaging	2	contig_1087
integration and excision	0	contig_1087
lysis	0	contig_1087
moron, auxiliary metabolic gene and host takeover	0	contig_1087
other	1	contig_1087
tail	0	contig_1087
transcription regulation	0	contig_1087
unknown function	74	contig_1087
tRNAs	0	contig_1087
CRISPRs	0	contig_1087
tmRNAs	0	contig_1087
VFDB_Virulence_Factors	0	contig_1087
CARD_AMR_Genes	0	contig_1087
CDS	142	contig_1092
connector	0	contig_1092
DNA, RNA and nucleotide metabolism	1	contig_1092
head and packaging	1	contig_1092
integration and excision	0	contig_1092
lysis	0	contig_1092
moron, auxiliary metabolic gene and host takeover	0	contig_1092
other	2	contig_1092
tail	0	contig_1092
transcription regulation	0	contig_1092
unknown function	138	contig_1092
tRNAs	0	contig_1092
CRISPRs	0	contig_1092
tmRNAs	0	contig_1092
VFDB_Virulence_Factors	0	contig_1092
CARD_AMR_Genes	0	contig_1092
CDS	204	contig_1096
connector	0	contig_1096
DNA, RNA and nucleotide metabolism	13	contig_1096
head and packaging	12	contig_1096
integration and excision	1	contig_1096
lysis	1	contig_1096
moron, auxiliary metabolic gene and host takeover	0	contig_1096
other	2	contig_1096
tail	2	contig_1096
transcription regulation	1	contig_1096
unknown function	172	contig_1096
tRNAs	0	contig_1096
CRISPRs	0	contig_1096
tmRNAs	0	contig_1096
VFDB_Virulence_Factors	0	contig_1096
CARD_AMR_Genes	0	contig_1096
CDS	149	contig_110
connector	0	contig_110
DNA, RNA and nucleotide metabolism	2	contig_110
head and packaging	13	contig_110
integration and excision	0	contig_110
lysis	1	contig_110
moron, auxiliary metabolic gene and host takeover	0	contig_110
other	2	contig_110
tail	2	contig_110
transcription regulation	0	contig_110
unknown function	129	contig_110
tRNAs	0	contig_110
CRISPRs	0	contig_110
tmRNAs	0	contig_110
VFDB_Virulence_Factors	0	contig_110
CARD_AMR_Genes	0	contig_110
CDS	58	contig_1104
connector	1	contig_1104
DNA, RNA and nucleotide metabolism	1	contig_1104
head and packaging	1	contig_1104
integration and excision	0	contig_1104
lysis	0	contig_1104
moron, auxiliary metabolic gene and host takeover	0	contig_1104
other	0	contig_1104
tail	2	contig_1104
transcription regulation	0	contig_1104
unknown function	53	contig_1104
tRNAs	0	contig_1104
CRISPRs	0	contig_1104
tmRNAs	0	contig_1104
VFDB_Virulence_Factors	0	contig_1104
CARD_AMR_Genes	0	contig_1104
CDS	97	contig_111
connector	0	contig_111
DNA, RNA and nucleotide metabolism	2	contig_111
head and packaging	0	contig_111
integration and excision	0	contig_111
lysis	1	contig_111
moron, auxiliary metabolic gene and host takeover	0	contig_111
other	2	contig_111
tail	0	contig_111
transcription regulation	0	contig_111
unknown function	92	contig_111
tRNAs	0	contig_111
CRISPRs	0	contig_111
tmRNAs	0	contig_111
VFDB_Virulence_Factors	0	contig_111
CARD_AMR_Genes	0	contig_111
CDS	132	contig_1111
connector	0	contig_1111
DNA, RNA and nucleotide metabolism	3	contig_1111
head and packaging	4	contig_1111
integration and excision	0	contig_1111
lysis	0	contig_1111
moron, auxiliary metabolic gene and host takeover	0	contig_1111
other	2	contig_1111
tail	1	contig_1111
transcription regulation	0	contig_1111
unknown function	122	contig_1111
tRNAs	0	contig_1111
CRISPRs	0	contig_1111
tmRNAs	0	contig_1111
VFDB_Virulence_Factors	0	contig_1111
CARD_AMR_Genes	0	contig_1111
CDS	61	contig_1118
connector	0	contig_1118
DNA, RNA and nucleotide metabolism	2	contig_1118
head and packaging	3	contig_1118
integration and excision	0	contig_1118
lysis	0	contig_1118
moron, auxiliary metabolic gene and host takeover	0	contig_1118
other	0	contig_1118
tail	1	contig_1118
transcription regulation	0	contig_1118
unknown function	55	contig_1118
tRNAs	0	contig_1118
CRISPRs	0	contig_1118
tmRNAs	0	contig_1118
VFDB_Virulence_Factors	0	contig_1118
CARD_AMR_Genes	0	contig_1118
CDS	148	contig_1131
connector	1	contig_1131
DNA, RNA and nucleotide metabolism	15	contig_1131
head and packaging	3	contig_1131
integration and excision	0	contig_1131
lysis	0	contig_1131
moron, auxiliary metabolic gene and host takeover	2	contig_1131
other	8	contig_1131
tail	3	contig_1131
transcription regulation	1	contig_1131
unknown function	115	contig_1131
tRNAs	2	contig_1131
CRISPRs	0	contig_1131
tmRNAs	0	contig_1131
VFDB_Virulence_Factors	0	contig_1131
CARD_AMR_Genes	0	contig_1131
CDS	69	contig_1136
connector	3	contig_1136
DNA, RNA and nucleotide metabolism	6	contig_1136
head and packaging	6	contig_1136
integration and excision	0	contig_1136
lysis	0	contig_1136
moron, auxiliary metabolic gene and host takeover	2	contig_1136
other	2	contig_1136
tail	4	contig_1136
transcription regulation	1	contig_1136
unknown function	45	contig_1136
tRNAs	1	contig_1136
CRISPRs	0	contig_1136
tmRNAs	0	contig_1136
VFDB_Virulence_Factors	0	contig_1136
CARD_AMR_Genes	0	contig_1136
CDS	47	contig_114
connector	0	contig_114
DNA, RNA and nucleotide metabolism	2	contig_114
head and packaging	3	contig_114
integration and excision	0	contig_114
lysis	0	contig_114
moron, auxiliary metabolic gene and host takeover	0	contig_114
other	0	contig_114
tail	0	contig_114
transcription regulation	0	contig_114
unknown function	42	contig_114
tRNAs	0	contig_114
CRISPRs	0	contig_114
tmRNAs	0	contig_114
VFDB_Virulence_Factors	0	contig_114
CARD_AMR_Genes	0	contig_114
CDS	33	contig_1140
connector	0	contig_1140
DNA, RNA and nucleotide metabolism	0	contig_1140
head and packaging	0	contig_1140
integration and excision	0	contig_1140
lysis	0	contig_1140
moron, auxiliary metabolic gene and host takeover	0	contig_1140
other	0	contig_1140
tail	1	contig_1140
transcription regulation	0	contig_1140
unknown function	32	contig_1140
tRNAs	0	contig_1140
CRISPRs	0	contig_1140
tmRNAs	0	contig_1140
VFDB_Virulence_Factors	0	contig_1140
CARD_AMR_Genes	0	contig_1140
CDS	63	contig_1148
connector	0	contig_1148
DNA, RNA and nucleotide metabolism	1	contig_1148
head and packaging	4	contig_1148
integration and excision	0	contig_1148
lysis	0	contig_1148
moron, auxiliary metabolic gene and host takeover	0	contig_1148
other	0	contig_1148
tail	1	contig_1148
transcription regulation	0	contig_1148
unknown function	57	contig_1148
tRNAs	0	contig_1148
CRISPRs	0	contig_1148
tmRNAs	0	contig_1148
VFDB_Virulence_Factors	0	contig_1148
CARD_AMR_Genes	0	contig_1148
CDS	139	contig_1157
connector	1	contig_1157
DNA, RNA and nucleotide metabolism	7	contig_1157
head and packaging	1	contig_1157
integration and excision	0	contig_1157
lysis	0	contig_1157
moron, auxiliary metabolic gene and host takeover	0	contig_1157
other	1	contig_1157
tail	1	contig_1157
transcription regulation	0	contig_1157
unknown function	128	contig_1157
tRNAs	0	contig_1157
CRISPRs	0	contig_1157
tmRNAs	0	contig_1157
VFDB_Virulence_Factors	0	contig_1157
CARD_AMR_Genes	0	contig_1157
CDS	89	contig_1160
connector	1	contig_1160
DNA, RNA and nucleotide metabolism	3	contig_1160
head and packaging	8	contig_1160
integration and excision	0	contig_1160
lysis	0	contig_1160
moron, auxiliary metabolic gene and host takeover	0	contig_1160
other	0	contig_1160
tail	0	contig_1160
transcription regulation	2	contig_1160
unknown function	75	contig_1160
tRNAs	0	contig_1160
CRISPRs	0	contig_1160
tmRNAs	0	contig_1160
VFDB_Virulence_Factors	0	contig_1160
CARD_AMR_Genes	0	contig_1160
CDS	108	contig_1165
connector	1	contig_1165
DNA, RNA and nucleotide metabolism	9	contig_1165
head and packaging	9	contig_1165
integration and excision	0	contig_1165
lysis	1	contig_1165
moron, auxiliary metabolic gene and host takeover	0	contig_1165
other	0	contig_1165
tail	1	contig_1165
transcription regulation	0	contig_1165
unknown function	87	contig_1165
tRNAs	0	contig_1165
CRISPRs	0	contig_1165
tmRNAs	0	contig_1165
VFDB_Virulence_Factors	0	contig_1165
CARD_AMR_Genes	0	contig_1165
CDS	122	contig_1169
connector	0	contig_1169
DNA, RNA and nucleotide metabolism	3	contig_1169
head and packaging	0	contig_1169
integration and excision	0	contig_1169
lysis	1	contig_1169
moron, auxiliary metabolic gene and host takeover	0	contig_1169
other	0	contig_1169
tail	1	contig_1169
transcription regulation	0	contig_1169
unknown function	117	contig_1169
tRNAs	0	contig_1169
CRISPRs	0	contig_1169
tmRNAs	0	contig_1169
VFDB_Virulence_Factors	0	contig_1169
CARD_AMR_Genes	0	contig_1169
CDS	127	contig_1170
connector	0	contig_1170
DNA, RNA and nucleotide metabolism	4	contig_1170
head and packaging	6	contig_1170
integration and excision	0	contig_1170
lysis	2	contig_1170
moron, auxiliary metabolic gene and host takeover	1	contig_1170
other	1	contig_1170
tail	0	contig_1170
transcription regulation	0	contig_1170
unknown function	113	contig_1170
tRNAs	0	contig_1170
CRISPRs	0	contig_1170
tmRNAs	0	contig_1170
VFDB_Virulence_Factors	0	contig_1170
CARD_AMR_Genes	0	contig_1170
CDS	103	contig_1177
connector	3	contig_1177
DNA, RNA and nucleotide metabolism	9	contig_1177
head and packaging	2	contig_1177
integration and excision	0	contig_1177
lysis	3	contig_1177
moron, auxiliary metabolic gene and host takeover	0	contig_1177
other	5	contig_1177
tail	5	contig_1177
transcription regulation	0	contig_1177
unknown function	76	contig_1177
tRNAs	0	contig_1177
CRISPRs	0	contig_1177
tmRNAs	0	contig_1177
VFDB_Virulence_Factors	0	contig_1177
CARD_AMR_Genes	0	contig_1177
CDS	154	contig_118
connector	0	contig_118
DNA, RNA and nucleotide metabolism	1	contig_118
head and packaging	4	contig_118
integration and excision	0	contig_118
lysis	2	contig_118
moron, auxiliary metabolic gene and host takeover	0	contig_118
other	1	contig_118
tail	4	contig_118
transcription regulation	0	contig_118
unknown function	142	contig_118
tRNAs	0	contig_118
CRISPRs	0	contig_118
tmRNAs	0	contig_118
VFDB_Virulence_Factors	0	contig_118
CARD_AMR_Genes	0	contig_118
CDS	88	contig_1184
connector	1	contig_1184
DNA, RNA and nucleotide metabolism	5	contig_1184
head and packaging	6	contig_1184
integration and excision	0	contig_1184
lysis	0	contig_1184
moron, auxiliary metabolic gene and host takeover	0	contig_1184
other	1	contig_1184
tail	2	contig_1184
transcription regulation	0	contig_1184
unknown function	73	contig_1184
tRNAs	0	contig_1184
CRISPRs	0	contig_1184
tmRNAs	0	contig_1184
VFDB_Virulence_Factors	0	contig_1184
CARD_AMR_Genes	0	contig_1184
CDS	86	contig_1198
connector	1	contig_1198
DNA, RNA and nucleotide metabolism	2	contig_1198
head and packaging	3	contig_1198
integration and excision	0	contig_1198
lysis	0	contig_1198
moron, auxiliary metabolic gene and host takeover	1	contig_1198
other	2	contig_1198
tail	5	contig_1198
transcription regulation	0	contig_1198
unknown function	72	contig_1198
tRNAs	0	contig_1198
CRISPRs	0	contig_1198
tmRNAs	0	contig_1198
VFDB_Virulence_Factors	0	contig_1198
CARD_AMR_Genes	0	contig_1198
CDS	70	contig_120
connector	2	contig_120
DNA, RNA and nucleotide metabolism	2	contig_120
head and packaging	4	contig_120
integration and excision	0	contig_120
lysis	1	contig_120
moron, auxiliary metabolic gene and host takeover	0	contig_120
other	1	contig_120
tail	5	contig_120
transcription regulation	0	contig_120
unknown function	55	contig_120
tRNAs	0	contig_120
CRISPRs	0	contig_120
tmRNAs	0	contig_120
VFDB_Virulence_Factors	0	contig_120
CARD_AMR_Genes	0	contig_120
CDS	61	contig_1201
connector	0	contig_1201
DNA, RNA and nucleotide metabolism	1	contig_1201
head and packaging	1	contig_1201
integration and excision	0	contig_1201
lysis	0	contig_1201
moron, auxiliary metabolic gene and host takeover	0	contig_1201
other	0	contig_1201
tail	0	contig_1201
transcription regulation	0	contig_1201
unknown function	59	contig_1201
tRNAs	0	contig_1201
CRISPRs	0	contig_1201
tmRNAs	0	contig_1201
VFDB_Virulence_Factors	0	contig_1201
CARD_AMR_Genes	0	contig_1201
CDS	57	contig_1206
connector	0	contig_1206
DNA, RNA and nucleotide metabolism	0	contig_1206
head and packaging	2	contig_1206
integration and excision	0	contig_1206
lysis	0	contig_1206
moron, auxiliary metabolic gene and host takeover	0	contig_1206
other	0	contig_1206
tail	1	contig_1206
transcription regulation	0	contig_1206
unknown function	54	contig_1206
tRNAs	0	contig_1206
CRISPRs	0	contig_1206
tmRNAs	0	contig_1206
VFDB_Virulence_Factors	0	contig_1206
CARD_AMR_Genes	0	contig_1206
CDS	49	contig_1207
connector	0	contig_1207
DNA, RNA and nucleotide metabolism	0	contig_1207
head and packaging	3	contig_1207
integration and excision	0	contig_1207
lysis	0	contig_1207
moron, auxiliary metabolic gene and host takeover	0	contig_1207
other	0	contig_1207
tail	1	contig_1207
transcription regulation	0	contig_1207
unknown function	45	contig_1207
tRNAs	0	contig_1207
CRISPRs	0	contig_1207
tmRNAs	0	contig_1207
VFDB_Virulence_Factors	0	contig_1207
CARD_AMR_Genes	0	contig_1207
CDS	89	contig_1210
connector	0	contig_1210
DNA, RNA and nucleotide metabolism	2	contig_1210
head and packaging	5	contig_1210
integration and excision	0	contig_1210
lysis	0	contig_1210
moron, auxiliary metabolic gene and host takeover	0	contig_1210
other	1	contig_1210
tail	1	contig_1210
transcription regulation	0	contig_1210
unknown function	80	contig_1210
tRNAs	0	contig_1210
CRISPRs	0	contig_1210
tmRNAs	0	contig_1210
VFDB_Virulence_Factors	0	contig_1210
CARD_AMR_Genes	0	contig_1210
CDS	57	contig_1212
connector	0	contig_1212
DNA, RNA and nucleotide metabolism	1	contig_1212
head and packaging	2	contig_1212
integration and excision	0	contig_1212
lysis	0	contig_1212
moron, auxiliary metabolic gene and host takeover	0	contig_1212
other	0	contig_1212
tail	0	contig_1212
transcription regulation	0	contig_1212
unknown function	54	contig_1212
tRNAs	0	contig_1212
CRISPRs	0	contig_1212
tmRNAs	0	contig_1212
VFDB_Virulence_Factors	0	contig_1212
CARD_AMR_Genes	0	contig_1212
CDS	43	contig_1214
connector	0	contig_1214
DNA, RNA and nucleotide metabolism	1	contig_1214
head and packaging	2	contig_1214
integration and excision	0	contig_1214
lysis	0	contig_1214
moron, auxiliary metabolic gene and host takeover	0	contig_1214
other	0	contig_1214
tail	1	contig_1214
transcription regulation	0	contig_1214
unknown function	39	contig_1214
tRNAs	0	contig_1214
CRISPRs	0	contig_1214
tmRNAs	0	contig_1214
VFDB_Virulence_Factors	0	contig_1214
CARD_AMR_Genes	0	contig_1214
CDS	65	contig_1215
connector	0	contig_1215
DNA, RNA and nucleotide metabolism	0	contig_1215
head and packaging	2	contig_1215
integration and excision	0	contig_1215
lysis	1	contig_1215
moron, auxiliary metabolic gene and host takeover	0	contig_1215
other	0	contig_1215
tail	0	contig_1215
transcription regulation	0	contig_1215
unknown function	62	contig_1215
tRNAs	0	contig_1215
CRISPRs	0	contig_1215
tmRNAs	0	contig_1215
VFDB_Virulence_Factors	0	contig_1215
CARD_AMR_Genes	0	contig_1215
CDS	73	contig_1218
connector	0	contig_1218
DNA, RNA and nucleotide metabolism	6	contig_1218
head and packaging	3	contig_1218
integration and excision	0	contig_1218
lysis	2	contig_1218
moron, auxiliary metabolic gene and host takeover	0	contig_1218
other	2	contig_1218
tail	1	contig_1218
transcription regulation	0	contig_1218
unknown function	59	contig_1218
tRNAs	0	contig_1218
CRISPRs	0	contig_1218
tmRNAs	0	contig_1218
VFDB_Virulence_Factors	0	contig_1218
CARD_AMR_Genes	0	contig_1218
CDS	161	contig_1223
connector	0	contig_1223
DNA, RNA and nucleotide metabolism	7	contig_1223
head and packaging	2	contig_1223
integration and excision	0	contig_1223
lysis	0	contig_1223
moron, auxiliary metabolic gene and host takeover	2	contig_1223
other	1	contig_1223
tail	1	contig_1223
transcription regulation	0	contig_1223
unknown function	148	contig_1223
tRNAs	0	contig_1223
CRISPRs	0	contig_1223
tmRNAs	0	contig_1223
VFDB_Virulence_Factors	0	contig_1223
CARD_AMR_Genes	0	contig_1223
CDS	75	contig_1226
connector	0	contig_1226
DNA, RNA and nucleotide metabolism	10	contig_1226
head and packaging	9	contig_1226
integration and excision	0	contig_1226
lysis	3	contig_1226
moron, auxiliary metabolic gene and host takeover	0	contig_1226
other	1	contig_1226
tail	1	contig_1226
transcription regulation	0	contig_1226
unknown function	51	contig_1226
tRNAs	0	contig_1226
CRISPRs	0	contig_1226
tmRNAs	0	contig_1226
VFDB_Virulence_Factors	0	contig_1226
CARD_AMR_Genes	0	contig_1226
CDS	97	contig_123
connector	1	contig_123
DNA, RNA and nucleotide metabolism	4	contig_123
head and packaging	5	contig_123
integration and excision	0	contig_123
lysis	1	contig_123
moron, auxiliary metabolic gene and host takeover	0	contig_123
other	1	contig_123
tail	5	contig_123
transcription regulation	0	contig_123
unknown function	80	contig_123
tRNAs	0	contig_123
CRISPRs	0	contig_123
tmRNAs	0	contig_123
VFDB_Virulence_Factors	0	contig_123
CARD_AMR_Genes	0	contig_123
CDS	95	contig_1240
connector	3	contig_1240
DNA, RNA and nucleotide metabolism	3	contig_1240
head and packaging	10	contig_1240
integration and excision	0	contig_1240
lysis	0	contig_1240
moron, auxiliary metabolic gene and host takeover	0	contig_1240
other	0	contig_1240
tail	4	contig_1240
transcription regulation	0	contig_1240
unknown function	75	contig_1240
tRNAs	0	contig_1240
CRISPRs	0	contig_1240
tmRNAs	0	contig_1240
VFDB_Virulence_Factors	0	contig_1240
CARD_AMR_Genes	0	contig_1240
CDS	74	contig_1252
connector	2	contig_1252
DNA, RNA and nucleotide metabolism	0	contig_1252
head and packaging	3	contig_1252
integration and excision	0	contig_1252
lysis	1	contig_1252
moron, auxiliary metabolic gene and host takeover	0	contig_1252
other	1	contig_1252
tail	6	contig_1252
transcription regulation	0	contig_1252
unknown function	61	contig_1252
tRNAs	0	contig_1252
CRISPRs	0	contig_1252
tmRNAs	0	contig_1252
VFDB_Virulence_Factors	0	contig_1252
CARD_AMR_Genes	0	contig_1252
CDS	49	contig_1254
connector	4	contig_1254
