gene	start	end	length	strand	gc_content	genetic_code	rbs_motif	marker	evalue	bitscore	uscg	plasmid_hallmark	virus_hallmark	taxid	taxname	annotation_conjscan	annotation_amr	annotation_accessions	annotation_description
contig_1019_28	17449	17793	345	1	0.322	11	None	GENOMAD.006518.VV	2.207e-09	56	0	0	0	2561	Caudoviricetes	NA	NA	PF10108;PF03811;K07501;TIGR04165;COG3877	Predicted 3'-5' exonuclease related to the exonuclease domain of PolB; InsA N-terminal domain
contig_1019_29	18204	18350	147	1	0.354	11	AAAA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
contig_1019_30	18807	19013	207	1	0.343	11	AAA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
contig_1019_31	19000	19149	150	1	0.327	11	AAAAT	GENOMAD.122094.VV	1.419e-23	93	0	0	0	1	NA	NA	NA	NA	NA
contig_1019_32	19158	19493	336	1	0.375	11	AAT	GENOMAD.192896.VP	1.478e-52	180	0	0	0	2561	Caudoviricetes	NA	NA	PF13392	HNH endonuclease
contig_1019_33	19441	19542	102	1	0.373	11	AAA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
contig_1019_34	19587	19775	189	1	0.270	11	AAT	GENOMAD.192896.VP	6.444e-30	112	0	0	0	2561	Caudoviricetes	NA	NA	PF13392	HNH endonuclease
contig_1019_35	19753	19986	234	1	0.380	11	AAAAA	GENOMAD.181768.VP	1.964e-11	60	0	0	0	2561	Caudoviricetes	NA	NA	NA	NA
contig_1019_36	20052	20219	168	1	0.321	11	None	GENOMAD.094673.VV	9.882e-09	51	0	0	0	1	NA	NA	NA	NA	NA
contig_1019_37	21467	22732	1266	1	0.345	11	AAAA	GENOMAD.160745.VP	9.359e-18	89	0	0	0	2561	Caudoviricetes	NA	NA	NA	NA
contig_1019_38	22726	22917	192	1	0.312	11	AAA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
contig_1019_39	23548	23733	186	1	0.258	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
contig_1019_40	24242	24496	255	1	0.384	11	AAT	GENOMAD.105319.VV	1.001e-20	87	0	0	0	2561	Caudoviricetes	NA	NA	PF03838;COG3331	Recombination protein U
contig_1019_41	24753	25292	540	1	0.391	11	AAAT	GENOMAD.152433.VP	2.352e-63	215	0	0	0	2561	Caudoviricetes	NA	NA	PF04404	ERF superfamily
contig_1019_42	25322	25819	498	1	0.378	11	AAAA	GENOMAD.089141.VV	5.343e-39	144	0	0	1	2561	Caudoviricetes	NA	NA	PF09588;TIGR03033;COG5377	putative phage-type endonuclease
contig_1019_43	26243	26575	333	1	0.414	11	AAAAA	GENOMAD.159886.VC	4.642e-08	52	0	0	0	2561	Caudoviricetes	NA	NA	PF11325	NA
contig_1019_44	26598	26762	165	1	0.345	11	AAA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
contig_1019_45	27221	27358	138	1	0.275	11	AAT	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
contig_1019_46	27499	27750	252	1	0.333	11	None	GENOMAD.046119.VV	4.764e-20	85	0	0	0	2561	Caudoviricetes	NA	NA	NA	NA
contig_1019_47	28205	28510	306	1	0.366	11	AAAA	GENOMAD.021044.VV	2.509e-42	150	0	0	0	2561	Caudoviricetes	NA	NA	NA	NA
contig_1019_48	28628	28888	261	1	0.383	11	None	GENOMAD.145463.VV	4.219e-15	71	0	0	1	2561	Caudoviricetes	NA	NA	PF04466;TIGR01547;COG1783	Phage terminase large subunit
contig_1019_49	29000	29668	669	1	0.396	11	AAA	GENOMAD.003224.VV	1.187e-36	140	0	0	0	2561	Caudoviricetes	NA	NA	NA	NA
contig_1021_1	3	197	195	1	0.549	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
contig_1021_2	229	741	513	1	0.556	11	None	GENOMAD.145799.VP	2.347e-84	275	0	0	1	2561	Caudoviricetes	NA	NA	PF03354;PF20441;PF13395;COG4626;TIGR01547	Phage terminase-like protein, large subunit, contains N-terminal HTH domain
contig_1021_3	752	922	171	1	0.556	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
contig_1021_4	942	1331	390	1	0.508	11	None	GENOMAD.145799.VP	9.491e-58	196	0	0	1	2561	Caudoviricetes	NA	NA	PF03354;PF20441;PF13395;COG4626;TIGR01547	Phage terminase-like protein, large subunit, contains N-terminal HTH domain
contig_1021_5	1658	1855	198	1	0.475	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
contig_1021_6	2480	2668	189	1	0.460	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
contig_1021_7	2674	2979	306	1	0.552	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
contig_1021_8	2966	3280	315	1	0.517	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
contig_1021_9	3658	3801	144	1	0.431	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
contig_1021_10	4129	4332	204	1	0.471	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
contig_1021_11	5002	5370	369	1	0.553	11	None	GENOMAD.030215.VV	1.535e-65	218	0	0	0	2561	Caudoviricetes	NA	NA	COG0492	NA
contig_1021_12	5434	5859	426	1	0.502	11	None	GENOMAD.008715.VV	4.505e-30	117	0	0	1	2561	Caudoviricetes	NA	NA	PF06199;TIGR02126;COG5437	Phage tail tube protein
contig_1021_13	5898	6170	273	1	0.436	11	None	GENOMAD.035915.VV	1.333e-43	153	0	0	0	2561	Caudoviricetes	NA	NA	NA	NA
contig_1021_14	6982	7146	165	1	0.600	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
contig_1021_15	7394	7552	159	1	0.447	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
contig_1021_16	7870	8085	216	1	0.653	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
contig_1021_17	8179	8382	204	1	0.515	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
contig_1021_18	8375	8569	195	1	0.503	11	None	GENOMAD.018796.VV	5.023e-05	41	0	0	0	1	NA	NA	NA	NA	NA
contig_1021_19	8601	9566	966	1	0.496	11	None	GENOMAD.006274.VV	1.361e-111	362	0	0	0	2561	Caudoviricetes	NA	NA	NA	NA
contig_1021_20	9966	10610	645	1	0.544	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
contig_1021_21	10976	11164	189	1	0.492	11	None	GENOMAD.017069.VV	7.963e-07	46	0	0	0	2561	Caudoviricetes	NA	NA	NA	NA
contig_1021_22	11416	11745	330	1	0.506	11	None	GENOMAD.036592.VV	2.451e-46	162	0	0	0	2561	Caudoviricetes	NA	NA	NA	NA
contig_1021_23	11776	12282	507	1	0.527	11	None	GENOMAD.011066.VV	6.334e-81	265	0	0	0	2561	Caudoviricetes	NA	NA	PF00062	C-type lysozyme/alpha-lactalbumin family
contig_1021_24	12361	12528	168	1	0.482	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
contig_1021_25	12595	12867	273	1	0.454	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
contig_1021_26	12896	13177	282	1	0.528	11	None	GENOMAD.211247.VP	1.493e-05	44	0	0	0	2561	Caudoviricetes	NA	NA	NA	NA
contig_1021_27	13174	13782	609	1	0.516	11	None	GENOMAD.017924.VV	6.695e-97	313	0	0	0	2561	Caudoviricetes	NA	NA	PF11272;COG4382	NA
contig_1021_28	13779	13931	153	1	0.359	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
contig_1024_1	118	477	360	1	0.500	11	None	GENOMAD.066181.VV	1.19e-09	57	0	0	1	2561	Caudoviricetes	NA	NA	PF03237;COG4626;TIGR01547	Phage terminase-like protein, large subunit, contains N-terminal HTH domain
contig_1024_2	449	1300	852	1	0.553	11	None	GENOMAD.145799.VP	8.099e-81	271	0	0	1	2561	Caudoviricetes	NA	NA	PF03354;PF20441;PF13395;COG4626;TIGR01547	Phage terminase-like protein, large subunit, contains N-terminal HTH domain
contig_1024_3	1275	1373	99	1	0.495	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
contig_1024_4	1695	1910	216	1	0.523	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
contig_1024_5	2022	2480	459	1	0.525	11	None	GENOMAD.005429.VV	7.526e-38	140	0	0	0	2561	Caudoviricetes	NA	NA	NA	NA
contig_1024_6	2553	2681	129	1	0.465	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
contig_1024_7	2713	2997	285	1	0.572	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
contig_1024_8	3055	3300	246	1	0.504	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
contig_1024_9	3360	3653	294	1	0.537	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
contig_1024_10	4340	4465	126	1	0.452	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
contig_1024_11	4440	4748	309	1	0.492	11	None	GENOMAD.028061.VV	4.107e-22	92	0	0	0	2561	Caudoviricetes	NA	NA	NA	NA
contig_1024_12	4708	4980	273	1	0.564	11	None	GENOMAD.028061.VV	5.673e-29	111	0	0	0	2561	Caudoviricetes	NA	NA	NA	NA
contig_1024_13	5041	5253	213	1	0.516	11	None	GENOMAD.030215.VV	1.651e-24	97	0	0	0	2561	Caudoviricetes	NA	NA	COG0492	NA
contig_1024_14	5381	5581	201	-1	0.557	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
contig_1024_15	5883	6170	288	1	0.507	11	None	GENOMAD.030017.VV	4.194e-42	149	0	0	0	2561	Caudoviricetes	NA	NA	NA	NA
contig_1024_16	6271	6441	171	1	0.520	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
contig_1024_17	6441	6560	120	1	0.500	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
contig_1024_18	6687	7118	432	1	0.500	11	None	GENOMAD.002817.VV	8.507e-24	99	0	0	1	2561	Caudoviricetes	NA	NA	COG3941	Phage tail tape-measure protein, controls tail length
contig_1024_19	7253	7600	348	1	0.506	11	None	GENOMAD.002817.VV	2.661e-40	145	0	0	1	2561	Caudoviricetes	NA	NA	COG3941	Phage tail tape-measure protein, controls tail length
contig_1024_20	7672	8130	459	1	0.490	11	None	GENOMAD.002817.VV	1.387e-39	145	0	0	1	2561	Caudoviricetes	NA	NA	COG3941	Phage tail tape-measure protein, controls tail length
contig_1024_21	8163	8402	240	1	0.496	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
contig_1024_22	9440	9649	210	-1	0.448	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
contig_1024_23	11026	11262	237	1	0.557	11	None	GENOMAD.046521.VV	2.579e-31	117	0	0	0	2561	Caudoviricetes	NA	NA	NA	NA
contig_1024_24	11309	11479	171	-1	0.509	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
contig_1024_25	11642	11872	231	1	0.554	11	None	GENOMAD.073037.VV	4.694e-32	119	0	0	0	2561	Caudoviricetes	NA	NA	NA	NA
contig_1024_26	12075	12311	237	1	0.502	11	None	GENOMAD.106406.VV	2.244e-40	143	0	0	0	2561	Caudoviricetes	NA	NA	NA	NA
contig_1024_27	12268	12405	138	-1	0.428	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
contig_1024_28	12493	12708	216	1	0.458	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
contig_1024_29	13160	13333	174	1	0.506	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
contig_1024_30	13330	13644	315	1	0.533	11	None	GENOMAD.126760.VP	1.088e-28	111	0	0	0	2561	Caudoviricetes	NA	NA	PF18743;COG1591	Holliday junction resolvase, archaeal type
contig_1024_31	13638	13748	111	1	0.477	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
contig_1024_32	13863	14195	333	-1	0.529	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
contig_103_1	165	1439	1275	1	0.626	11	None	GENOMAD.181861.VP	3.03e-81	279	0	0	1	2561	Caudoviricetes	NA	NA	PF20441;PF04860;COG4626;TIGR01537	Phage terminase-like protein, large subunit, contains N-terminal HTH domain
contig_103_2	1828	2061	234	1	0.620	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
contig_103_3	2048	2989	942	1	0.633	11	None	GENOMAD.181861.VP	3.153e-68	236	0	0	1	2561	Caudoviricetes	NA	NA	PF20441;PF04860;COG4626;TIGR01537	Phage terminase-like protein, large subunit, contains N-terminal HTH domain
contig_103_4	3649	4146	498	1	0.612	11	AGxAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
contig_103_5	4208	4804	597	1	0.580	11	None	GENOMAD.181861.VP	1.706e-40	150	0	0	1	2561	Caudoviricetes	NA	NA	PF20441;PF04860;COG4626;TIGR01537	Phage terminase-like protein, large subunit, contains N-terminal HTH domain
contig_103_6	4852	5700	849	1	0.616	11	None	GENOMAD.090944.VV	7.714e-51	184	0	0	1	2561	Caudoviricetes	NA	NA	PF05135;TIGR02215	phage conserved hypothetical protein, phiE125 gp8 family
contig_103_7	5700	6089	390	1	0.613	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
contig_103_8	6099	6479	381	1	0.520	11	AGGA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
contig_103_9	6476	6757	282	1	0.613	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
contig_103_10	6840	8576	1737	1	0.626	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
contig_103_11	8825	9229	405	1	0.590	11	None	GENOMAD.048290.VV	7.101e-13	67	0	0	0	2561	Caudoviricetes	NA	NA	NA	NA
contig_103_12	9320	9664	345	1	0.586	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
contig_103_13	9664	9795	132	1	0.606	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
contig_103_14	9991	10476	486	1	0.605	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
contig_103_15	10480	10656	177	1	0.588	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
contig_103_16	10783	10956	174	1	0.563	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
contig_103_17	10953	11135	183	1	0.650	11	GGAG/GAGG	GENOMAD.137269.VP	2.753e-15	70	0	0	0	2561	Caudoviricetes	NA	NA	COG5546	NA
contig_103_18	11313	11453	141	1	0.638	11	GGAG/GAGG	GENOMAD.077833.VV	9.505e-19	79	0	0	0	1	NA	NA	NA	NA	NA
contig_103_19	11446	11787	342	1	0.582	11	AGGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
contig_103_20	11800	12420	621	1	0.552	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
contig_103_21	12420	12695	276	1	0.692	11	None	GENOMAD.017728.VV	5.014e-08	51	0	0	0	1	NA	NA	NA	NA	NA
contig_103_22	12997	13182	186	1	0.629	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
contig_103_23	13175	13525	351	1	0.547	11	AGGA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
contig_103_24	13522	14358	837	1	0.622	11	None	GENOMAD.170341.VP	4.704e-12	69	0	0	0	2561	Caudoviricetes	NA	NA	PF04404	ERF superfamily
contig_103_25	14490	15077	588	1	0.580	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
contig_103_26	15169	15717	549	1	0.577	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
contig_103_27	15824	16081	258	1	0.612	11	None	GENOMAD.123462.VP	1.567e-09	55	0	0	0	2561	Caudoviricetes	NA	NA	COG1591	Holliday junction resolvase, archaeal type
contig_1033_1	1	144	144	1	0.340	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
contig_1033_2	336	497	162	1	0.432	11	AGxAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
contig_1033_3	641	1459	819	1	0.659	11	GGA/GAG/AGG	GENOMAD.180483.VP	4.524e-13	72	0	0	1	2561	Caudoviricetes	NA	NA	PF20441;PF03354;COG4626;TIGR01547;K06909	Phage terminase-like protein, large subunit, contains N-terminal HTH domain
