contig_id	length	prediction	entropy	reliability_score	host_contam	prophage_contam	G+C	N%	prediction_2	#_bacteria_windows	#_phage_windows	#_eukarya_windows	#_archaea_windows	bacteria_score	bacteria_var	phage_score	phage_var	eukarya_score	eukarya_var	archaea_score	archaea_var	window_summary	terminal_repeats	repeat_length
contig_1013	3407.000	non-phage	0.992	0.666	False	False	0.475	0.000		1.000	0.000	0.000	0.000	3.283	0.000	3.027	0.000	-4.711	0.000	-5.484	0.000	1n		
contig_1015	9475.000	phage	0.281	0.653	False	False	0.484	0.000	bacteria	1.000	3.000	0.000	0.000	0.454	1.367	4.605	3.344	-5.059	2.891	-4.469	0.159	1V1n2V		
contig_1016	5614.000	phage	0.039	0.645	False	False	0.496	0.000	bacteria	0.000	2.000	0.000	0.000	-0.428	0.200	5.180	0.599	-5.000	0.981	-4.570	0.081	2V		
contig_1017	5706.000	phage	0.114	0.618	False	False	0.504	0.000	bacteria	0.000	2.000	0.000	0.000	0.296	0.001	4.578	0.277	-4.789	0.182	-4.785	0.022	2V		
contig_102	16498.000	non-phage	0.490	0.419	False	False	0.402	0.000		0.000	2.000	6.000	0.000	-2.275	1.695	-0.741	3.178	2.018	3.236	-2.908	1.558	1n1V5n1V	DTR	47.000
contig_1019	29669.000	phage	0.230	0.478	False	False	0.352	0.000	bacteria	0.000	13.000	1.000	0.000	-1.924	0.743	3.971	3.250	-2.896	2.840	-2.541	1.246	1V1n12V		
contig_1020	13312.000	phage	1.111	0.358	True	False	0.562	0.000	bacteria	2.000	2.000	2.000	0.000	0.854	0.406	1.241	2.617	-0.747	4.426	-5.215	0.292	1n1V3n1V		
contig_1021	15099.000	phage	0.298	0.817	False	False	0.504	0.000	bacteria	2.000	5.000	0.000	0.000	2.107	4.711	4.031	2.469	-6.094	0.567	-5.984	1.223	1n2V1n3V		
contig_1022	8047.000	phage	0.842	0.271	True	False	0.549	0.000	bacteria	0.000	2.000	1.000	0.000	0.616	0.035	1.423	3.682	-0.729	2.525	-4.215	0.249	2V1n		
contig_1023	2687.000	non-phage	0.827	0.493	False	False	0.423	0.000		1.000	0.000	0.000	0.000	2.551	0.000	1.281	0.000	-2.406	0.000	-3.189	0.000	1n		
contig_1024	14400.000	phage	0.731	0.479	False	False	0.513	0.000	bacteria	2.000	5.000	0.000	0.000	1.528	0.746	2.639	1.989	-2.336	3.580	-4.352	0.392	2n5V		
contig_1025	2302.000	phage	0.119	0.828	False	False	0.462	0.000	bacteria	0.000	1.000	0.000	0.000	-0.318	0.000	3.891	0.000	-4.781	0.000	-3.607	0.000	1V		
contig_1026	16895.000	phage	0.121	0.850	False	False	0.590	0.000	bacteria	0.000	8.000	0.000	0.000	0.755	0.415	5.730	1.495	-7.250	1.014	-4.992	0.144	8V		
contig_1027	6838.000	non-phage	0.603	0.258	False	False	0.382	0.000		0.000	1.000	2.000	0.000	-0.979	3.008	-0.125	2.162	0.928	5.504	-2.336	0.470	2n1V		
contig_1029	8033.000	non-phage	0.743	0.714	False	False	0.437	0.000		3.000	0.000	0.000	0.000	3.365	0.029	2.016	0.125	-3.637	1.522	-4.176	0.332	3n		
contig_1028	23869.000	non-phage	0.440	0.563	False	False	0.519	0.000		2.000	3.000	6.000	0.000	-0.550	2.535	-0.081	6.027	0.823	6.512	-5.121	0.623	3n1V4n2V1n		
contig_103	16445.000	phage	0.237	0.785	False	False	0.604	0.000	bacteria	0.000	8.000	0.000	0.000	0.463	0.515	4.160	0.454	-5.664	1.055	-5.176	0.382	8V		
contig_1030	2846.000	phage	0.925	0.504	False	False	0.634	0.000	bacteria	0.000	1.000	0.000	0.000	1.952	0.000	2.715	0.000	-5.996	0.000	-3.002	0.000	1V		
contig_1031	18289.000	non-phage	0.680	0.537	False	True	0.577	0.000		3.000	1.000	4.000	0.000	0.702	3.586	-0.178	4.539	0.377	8.688	-5.152	0.831	5n1V2n		
contig_1032	12196.000	phage	0.352	0.507	False	False	0.569	0.000	bacteria	1.000	4.000	0.000	0.000	0.152	1.763	3.613	1.466	-2.941	2.143	-5.129	0.171	3V1n1V		
contig_1033	15904.000	phage	0.378	0.658	False	False	0.593	0.000	bacteria	0.000	7.000	0.000	0.000	0.625	0.273	4.047	2.008	-5.867	2.139	-3.029	1.307	7V	ITR	13.000
contig_1034	18402.000	phage	0.298	0.684	False	False	0.303	0.000	bacteria	0.000	8.000	0.000	0.000	0.045	1.093	3.859	0.995	-5.660	3.574	-2.891	0.563	8V		
contig_1035	4478.000	non-phage	1.105	0.476	False	True	0.612	0.000		2.000	0.000	0.000	0.000	2.023	0.157	0.385	1.429	-0.179	1.164	-3.572	0.599	2n		
contig_1036	6924.000	non-phage	1.045	0.267	False	False	0.525	0.000		0.000	1.000	2.000	0.000	-0.408	0.447	0.181	1.511	0.939	0.636	-4.418	0.601	2n1V		
contig_1038	10788.000	phage	0.897	0.471	True	False	0.576	0.000	bacteria	2.000	3.000	0.000	0.000	1.256	0.843	2.080	2.555	-2.508	5.922	-4.344	1.053	1n3V1n		
contig_104	16758.000	phage	0.297	0.674	False	False	0.615	0.000	bacteria	1.000	7.000	0.000	0.000	0.808	0.661	4.035	1.663	-5.434	5.438	-5.289	0.345	2V1n5V		
contig_1040	14240.000	phage	0.940	0.449	True	False	0.531	0.000	bacteria	2.000	4.000	0.000	0.000	1.491	0.658	2.396	3.445	-2.424	6.289	-4.895	0.706	1n1V1n3V		
contig_1037	38696.000	phage	0.990	0.433	True	False	0.554	0.000	bacteria	4.000	10.000	4.000	0.000	0.666	1.016	1.245	2.357	-1.000	5.574	-4.660	0.898	1V4n1V1n4V3n4V		
contig_1041	2357.000	non-phage	1.423	0.467	False	True	0.606	0.000		1.000	0.000	0.000	0.000	0.783	0.000	-0.500	0.000	0.266	0.000	-6.035	0.000	1n		
contig_1045	3312.000	phage	0.996	0.696	False	False	0.617	0.000	bacteria	0.000	1.000	0.000	0.000	2.115	0.000	2.385	0.000	-4.766	0.000	-5.312	0.000	1V		
contig_1046	12857.000	phage	0.724	0.680	False	False	0.594	0.000	bacteria	1.000	5.000	0.000	0.000	1.438	1.104	2.742	0.836	-4.988	7.145	-5.559	0.771	4V1n1V		
contig_1047	3494.000	phage	0.407	0.783	False	False	0.601	0.000	bacteria	0.000	1.000	0.000	0.000	1.036	0.000	3.475	0.000	-5.223	0.000	-5.035	0.000	1V		
contig_1042	36454.000	phage	0.710	0.502	False	False	0.607	0.000	bacteria	5.000	11.000	1.000	0.000	2.137	1.052	3.230	1.491	-3.803	2.203	-4.926	0.290	1V2n1V2n4V2n5V		
contig_1048	13007.000	phage	0.487	0.705	False	False	0.581	0.000	bacteria	1.000	5.000	0.000	0.000	1.021	0.683	3.414	1.028	-4.570	1.069	-4.695	0.191	2V1n3V		
contig_1049	2310.000	phage	0.121	0.884	False	False	0.646	0.000	bacteria	0.000	1.000	0.000	0.000	0.895	0.000	4.992	0.000	-6.586	0.000	-5.113	0.000	1V		
contig_1050	4930.000	non-phage	1.334	0.367	False	False	0.506	0.000		1.000	0.000	1.000	0.000	0.695	1.092	0.380	0.000	0.438	0.293	-3.199	0.872	2n		
contig_105	29683.000	phage	0.102	0.852	False	False	0.292	0.000	bacteria	0.000	14.000	0.000	0.000	-0.456	0.463	4.660	0.603	-6.051	0.728	-3.223	1.012	14V		
contig_1051	8144.000	phage	0.183	0.717	False	False	0.476	0.000	bacteria	0.000	3.000	0.000	0.000	0.159	0.013	3.977	0.356	-4.070	0.971	-3.576	0.333	3V		
contig_1052	12060.000	phage	0.226	0.518	False	False	0.548	0.000	bacteria	0.000	5.000	0.000	0.000	-0.093	0.143	3.611	0.313	-2.744	1.920	-4.586	0.476	5V		
contig_1055	12907.000	phage	0.509	0.310	False	False	0.334	0.000	bacteria	0.000	6.000	0.000	0.000	-0.314	0.284	2.730	0.583	-2.270	2.594	-2.893	0.305	6V		
contig_1056	3659.000	phage	0.564	0.264	False	False	0.487	0.000	bacteria	0.000	1.000	0.000	0.000	0.088	0.000	2.695	0.000	-0.782	0.000	-2.932	0.000	1V		
contig_1058	17568.000	non-phage	0.580	0.348	False	False	0.436	0.000		0.000	3.000	5.000	0.000	-1.715	3.580	0.312	3.756	0.706	7.035	-3.922	1.078	3n1V2n2V		
contig_1054	50858.000	phage	0.560	0.666	False	False	0.439	0.000	bacteria	5.000	19.000	0.000	0.000	1.692	1.018	3.670	2.363	-4.922	3.912	-5.020	0.384	1n1V1n15V1n1V1n1V1n1V		
contig_1059	10854.000	non-phage	0.511	0.718	False	True	0.571	0.000		3.000	2.000	0.000	0.000	2.420	3.000	1.513	2.973	-2.682	6.062	-3.844	1.331	2n2V1n		
contig_1057	35778.000	phage	0.678	0.513	True	False	0.419	0.000	bacteria	5.000	11.000	1.000	0.000	1.156	1.018	2.758	2.977	-2.803	4.633	-4.301	0.888	8V1n1V1n1V1n1V3n	LTR_DTR	326.000
contig_1061	6389.000	phage	0.376	0.542	True	False	0.555	0.000	bacteria	0.000	2.000	1.000	0.000	0.213	1.097	1.682	12.875	-1.581	9.234	-4.992	1.631	2V1n		
contig_1063	2306.000	phage	0.020	0.990	False	False	0.365	0.000	bacteria	0.000	1.000	0.000	0.000	-0.824	0.000	5.488	0.000	-7.094	0.000	-4.156	0.000	1V		
contig_1064	10968.000	phage	0.945	0.362	True	False	0.458	0.000	bacteria	3.000	1.000	1.000	0.000	1.159	2.742	1.502	1.677	-0.587	4.148	-4.262	0.193	1V4n		
contig_1065	9822.000	phage	0.207	0.615	False	False	0.462	0.000	bacteria	0.000	4.000	0.000	0.000	0.057	0.966	4.188	0.416	-5.051	0.799	-4.078	0.156	4V		
contig_1062	50552.000	phage	0.376	0.614	False	False	0.370	0.000	bacteria	0.000	23.000	0.000	1.000	-0.940	1.575	3.697	2.496	-4.332	3.326	-2.719	1.794	1n23V		
contig_1066	5137.000	phage	0.356	0.745	False	False	0.466	0.000	bacteria	0.000	2.000	0.000	0.000	1.104	1.906	4.988	1.027	-5.465	0.374	-4.609	0.158	2V		
contig_1067	7307.000	phage	0.220	0.681	False	False	0.600	0.000	bacteria	0.000	3.000	0.000	0.000	0.047	0.259	4.492	1.873	-4.008	2.064	-5.145	0.191	3V		
contig_1068	2239.000	phage	0.021	0.936	False	False	0.545	0.000	bacteria	0.000	1.000	0.000	0.000	-0.552	0.000	5.691	0.000	-5.238	0.000	-5.617	0.000	1V		
contig_1069	11966.000	non-phage	0.662	0.730	False	False	0.610	0.000		2.000	3.000	0.000	0.000	3.416	1.757	2.215	0.664	-4.234	2.633	-4.191	0.220	2V2n1V		
contig_107																								
contig_1070	2758.000	phage	0.068	0.922	False	False	0.318	0.000	bacteria	0.000	1.000	0.000	0.000	0.152	0.000	5.016	0.000	-5.457	0.000	-3.607	0.000	1V		
contig_1075																								
contig_1077																								
contig_1079	15032.000	non-phage	0.953	0.564	False	True	0.478	0.000		4.000	2.000	1.000	0.000	1.779	0.246	0.283	4.297	0.033	2.588	-4.469	1.125	5n2V		
contig_108	16635.000	phage	0.003	0.973	False	False	0.361	0.000	bacteria	0.000	8.000	0.000	0.000	-2.600	0.100	6.625	0.478	-6.570	0.469	-3.461	0.534	8V		
contig_1080	14146.000	phage	0.549	0.507	False	False	0.452	0.000	bacteria	1.000	4.000	1.000	0.000	1.322	3.373	2.570	1.739	-3.684	9.805	-3.123	1.871	2V2n2V		
contig_1081	20092.000	phage	0.276	0.749	False	False	0.521	0.000	bacteria	1.000	8.000	0.000	0.000	0.802	1.072	4.664	2.293	-5.371	6.242	-4.273	0.944	5V1n3V		
contig_1082	15906.000	phage	0.279	0.682	True	False	0.469	0.000	bacteria	0.000	6.000	1.000	0.000	-1.682	1.335	5.074	7.176	-4.355	11.625	-4.664	0.207	1V1n5V		
contig_1083	10940.000	phage	0.352	0.760	False	False	0.549	0.000	bacteria	0.000	5.000	0.000	0.000	1.739	0.957	5.234	1.357	-7.617	2.486	-4.961	0.427	5V		
contig_1084	11038.000	phage	0.147	0.842	False	False	0.520	0.000	bacteria	0.000	5.000	0.000	0.000	-0.192	0.300	4.762	1.212	-5.176	2.557	-3.402	0.978	5V		
contig_1085	2357.000	phage	0.079	0.915	False	False	0.316	0.000	bacteria	0.000	1.000	0.000	0.000	-0.597	0.000	4.148	0.000	-5.062	0.000	-3.418	0.000	1V		
contig_1086	9069.000	phage	0.674	0.768	True	False	0.610	0.000	bacteria	1.000	2.000	1.000	0.000	0.626	2.283	2.443	4.289	-4.977	9.086	-2.562	0.508	1V1n1V1n		
contig_1087	16341.000	phage	0.869	0.383	True	False	0.424	0.000	bacteria	0.000	5.000	2.000	0.000	0.407	0.745	2.434	3.156	-2.123	6.328	-3.885	0.364	1V2n4V		
contig_1088	15786.000	phage	0.785	0.361	True	False	0.492	0.000	bacteria	2.000	4.000	1.000	0.000	0.349	2.932	1.636	4.547	-1.041	6.863	-4.070	0.979	1V2n2V1n1V		
contig_1089	11085.000	phage	0.130	0.485	False	False	0.571	0.000	bacteria	0.000	5.000	0.000	0.000	-0.825	0.924	4.305	0.892	-2.609	1.959	-4.945	0.305	5V		
contig_109	15785.000	phage	0.019	0.884	False	False	0.372	0.000	bacteria	0.000	7.000	0.000	0.000	-2.367	0.675	6.535	2.844	-6.707	3.178	-3.750	0.166	7V		
contig_1092	32186.000	phage	0.519	0.384	False	False	0.361	0.000	bacteria	0.000	15.000	0.000	0.000	0.435	0.587	3.172	0.957	-3.385	3.270	-3.664	1.227	15V		
contig_1095	23180.000	phage	0.401	0.758	False	False	0.567	0.000	bacteria	2.000	9.000	0.000	0.000	1.193	1.420	4.328	3.207	-5.367	4.121	-4.902	0.600	4V1n1V1n4V		
contig_1097	14525.000	non-phage	0.671	0.656	False	False	0.499	0.000		6.000	1.000	0.000	0.000	3.098	1.227	1.748	0.932	-3.859	10.445	-4.664	1.338	1V6n		
contig_1098	7500.000	non-phage	0.314	0.624	False	True	0.651	0.000		2.000	0.000	1.000	0.000	1.837	3.953	-0.758	1.782	-0.214	5.465	-3.549	0.219	3n		
contig_1099	12200.000	phage	0.422	0.284	True	False	0.538	0.000	eukarya	0.000	3.000	2.000	0.000	-1.101	1.023	1.267	3.795	0.081	4.367	-4.344	0.560	1n1V1n2V		
contig_1100	2768.000	phage	0.134	0.540	False	False	0.536	0.000	bacteria	0.000	1.000	0.000	0.000	0.574	0.000	4.582	0.000	-4.137	0.000	-4.027	0.000	1V		
contig_110	33382.000	phage	0.576	0.352	True	False	0.439	0.000	eukarya	0.000	12.000	4.000	0.000	-1.242	0.938	2.309	4.668	-0.857	7.016	-4.555	0.685	2V3n6V1n4V	ITR	14.000
contig_1096	65151.000	phage	0.567	0.560	False	False	0.581	0.000	bacteria	8.000	22.000	1.000	0.000	1.142	1.231	2.887	2.350	-3.590	4.078	-4.375	0.435	3V1n6V1n1V2n5V1n2V2n2V2n3V		
contig_1102	6228.000	phage	0.554	0.464	False	False	0.362	0.000	bacteria	0.000	3.000	0.000	0.000	-0.393	0.407	2.914	1.983	-2.916	4.344	-3.682	0.400	3V		
contig_1101	31229.000	phage	0.560	0.595	False	False	0.376	0.000	bacteria	1.000	14.000	0.000	0.000	0.394	0.719	3.211	1.910	-3.943	2.754	-2.957	2.275	12V1n2V		
contig_1103	7494.000	phage	0.701	0.350	False	False	0.473	0.000	bacteria	0.000	3.000	0.000	0.000	0.061	0.866	2.570	0.745	-1.919	4.270	-3.232	0.427	3V		
contig_1104	15323.000	phage	0.358	0.609	False	False	0.479	0.000	bacteria	1.000	6.000	0.000	0.000	0.502	0.980	3.824	3.670	-4.281	4.023	-4.363	0.954	1n6V		
contig_1105	4625.000	phage	0.301	0.658	False	False	0.653	0.000	bacteria	0.000	2.000	0.000	0.000	1.055	0.067	4.168	0.407	-5.410	1.032	-4.539	0.031	2V		
contig_1106	4836.000	phage	0.088	0.935	False	False	0.657	0.000	bacteria	0.000	2.000	0.000	0.000	0.442	0.096	5.410	0.746	-7.523	0.504	-5.410	0.472	2V	ITR	14.000
contig_111	21074.000	phage	0.782	0.310	True	False	0.439	0.000	eukarya	2.000	4.000	4.000	0.000	-0.357	1.008	1.201	3.475	-0.070	6.000	-4.004	0.498	3n3V3n1V		
contig_1110	8026.000	phage	0.195	0.871	False	False	0.303	0.000	bacteria	0.000	3.000	0.000	0.000	0.325	0.431	4.176	0.225	-5.891	0.017	-3.213	0.440	3V		
contig_1107	36946.000	phage	0.332	0.791	True	False	0.676	0.000	bacteria	5.000	13.000	0.000	0.000	1.811	2.494	3.539	3.551	-7.066	1.032	-4.672	0.723	13V5n	DTR	13.000
contig_1113	2391.000	phage	0.621	0.344	False	False	0.517	0.000	bacteria	0.000	1.000	0.000	0.000	1.404	0.000	3.148	0.000	-3.926	0.000	-4.410	0.000	1V		
contig_1111	31091.000	phage	0.556	0.477	False	False	0.289	0.000	bacteria	0.000	14.000	1.000	0.000	0.031	0.629	3.039	1.537	-4.020	4.082	-2.365	2.025	1V1n13V		
contig_1114	6123.000	phage	0.854	0.574	False	False	0.682	0.000	bacteria	0.000	2.000	0.000	0.000	2.611	0.020	3.443	0.545	-5.441	1.390	-5.523	0.135	2V		
contig_1115	13060.000	phage	0.505	0.396	True	False	0.533	0.000	eukarya	0.000	3.000	3.000	0.000	-0.964	0.920	0.797	7.965	0.372	8.266	-4.086	3.035	2n2V1n1V		
contig_1117	4765.000	phage	1.088	0.226	False	False	0.489	0.000	eukarya	0.000	2.000	0.000	0.000	-0.194	0.067	1.708	0.010	0.044	0.021	-4.199	0.043	2V		
contig_1118	21402.000	phage	0.373	0.670	False	False	0.303	0.000	bacteria	1.000	9.000	0.000	0.000	0.837	0.805	3.969	2.270	-5.586	2.592	-3.689	0.513	8V1n1V	ITR	14.000
contig_1116	46540.000	non-phage	0.702	0.401	False	False	0.530	0.000		0.000	10.000	12.000	0.000	-1.241	2.516	-0.013	3.822	1.421	4.137	-3.801	2.957	3V1n1V1n1V3n1V5n1V1n2V1n1V		
contig_112	7845.000	phage	1.020	0.602	True	False	0.544	0.000	bacteria	0.000	1.000	2.000	0.000	-0.200	0.078	1.751	5.941	-1.142	6.711	-4.059	0.680	2n1V		
contig_1119	28019.000	phage	0.646	0.661	False	False	0.698	0.000	bacteria	1.000	12.000	0.000	0.000	1.484	0.558	3.133	0.610	-5.410	1.561	-3.812	0.692	7V1n5V	DTR	13.000
contig_1120																								
contig_1129	6485.000	phage	0.514	0.705	False	False	0.684	0.000	bacteria	0.000	3.000	0.000	0.000	1.232	0.377	3.541	0.664	-5.449	0.757	-4.180	0.219	3V		
contig_113	6409.000	phage	0.152	0.794	False	False	0.581	0.000	bacteria	0.000	3.000	0.000	0.000	0.361	0.064	4.387	0.204	-5.773	0.497	-4.113	0.591	3V		
contig_1130	4205.000	phage	0.356	0.773	False	False	0.555	0.000	bacteria	1.000	1.000	0.000	0.000	1.528	4.691	2.646	0.756	-2.797	0.272	-4.562	0.091	1n1V		
contig_1132	2610.000	phage	0.103	0.276	False	False	0.505	0.000	bacteria	0.000	1.000	0.000	0.000	-1.532	0.000	3.590	0.000	-1.732	0.000	-3.906	0.000	1V		
contig_1133	2613.000	non-phage	1.075	0.537	False	False	0.548	0.000		1.000	0.000	0.000	0.000	2.295	0.000	1.436	0.000	-0.713	0.000	-3.838	0.000	1n		
contig_1134	23082.000	phage	0.640	0.674	False	False	0.572	0.000	bacteria	4.000	6.000	1.000	0.000	2.070	2.818	2.760	2.180	-4.379	7.324	-4.074	0.505	1V1n2V2n1V1n1V1n1V		
contig_1135	3167.000	non-phage	0.156	0.655	False	False	0.490	0.000		0.000	0.000	1.000	0.000	-1.094	0.000	-1.983	0.000	3.203	0.000	-4.812	0.000	1n		
contig_1131	51372.000	phage	0.166	0.750	True	False	0.358	0.000	bacteria	0.000	23.000	2.000	0.000	-1.783	0.965	4.680	5.137	-4.297	6.848	-3.340	1.545	1n18V1n5V	DTR	25.000
contig_1137	4224.000	phage	1.021	0.463	False	False	0.515	0.000	bacteria	0.000	2.000	0.000	0.000	1.705	1.097	2.660	0.576	-2.975	7.051	-5.312	0.819	2V		
contig_1138																								
contig_1136	37294.000	phage	0.114	0.882	False	False	0.431	0.000	bacteria	0.000	18.000	0.000	0.000	0.196	0.677	5.516	1.135	-6.543	1.406	-4.211	0.515	18V		
contig_1139	6822.000	phage	0.358	0.726	True	False	0.502	0.000	bacteria	0.000	2.000	1.000	0.000	0.296	0.080	3.018	10.055	-3.133	12.500	-3.920	0.233	2V1n		
contig_114	16419.000	phage	0.639	0.609	False	False	0.583	0.000	bacteria	0.000	8.000	0.000	0.000	0.625	1.159	2.842	1.242	-3.863	5.191	-5.254	0.573	8V		
contig_1140	8555.000	phage	0.392	0.740	False	False	0.488	0.000	bacteria	0.000	4.000	0.000	0.000	1.194	1.107	4.469	1.067	-5.426	0.019	-4.848	0.218	4V		
contig_1141	8793.000	phage	0.424	0.479	False	False	0.498	0.000	bacteria	0.000	4.000	0.000	0.000	0.672	0.571	3.770	1.305	-3.328	1.513	-4.781	0.153	4V		
contig_1142	3414.000	non-phage	0.474	0.945	False	False	0.645	0.000		1.000	0.000	0.000	0.000	4.695	0.000	2.514	0.000	-9.797	0.000	-7.250	0.000	1n	ITR	15.000
contig_1143	3012.000	phage	0.552	0.579	False	False	0.548	0.000	bacteria	0.000	1.000	0.000	0.000	1.704	0.000	3.643	0.000	-5.074	0.000	-4.203	0.000	1V		
contig_1144	7364.000	phage	0.389	0.611	False	False	0.556	0.000	bacteria	0.000	3.000	0.000	0.000	1.290	0.090	4.145	0.911	-5.824	1.425	-4.539	0.372	3V		
contig_1145	4604.000	phage	0.541	0.644	False	False	0.539	0.000	bacteria	1.000	1.000	0.000	0.000	1.787	0.651	3.451	2.248	-4.684	1.034	-4.879	0.022	1V1n		
contig_1146	5265.000	non-phage	1.219	0.585	False	False	0.557	0.000		2.000	0.000	0.000	0.000	2.080	1.141	1.435	0.282	-1.885	3.334	-2.740	1.695	2n		
contig_1147	2235.000	phage	0.063	0.772	False	False	0.582	0.000	bacteria	0.000	1.000	0.000	0.000	-0.676	0.000	4.410	0.000	-3.799	0.000	-3.344	0.000	1V		
contig_1148	15547.000	phage	0.661	0.444	False	False	0.453	0.000	bacteria	0.000	7.000	0.000	0.000	1.104	1.559	3.217	0.777	-3.525	2.482	-4.105	0.570	7V		
contig_115	3964.000	phage	0.354	0.700	False	False	0.576	0.000	bacteria	0.000	1.000	0.000	0.000	1.354	0.000	3.998	0.000	-6.258	0.000	-4.930	0.000	1V		
contig_1151	16042.000	non-phage	0.703	0.377	False	False	0.494	0.000		0.000	3.000	4.000	0.000	-1.536	2.289	-0.063	2.990	1.456	3.049	-4.676	0.689	2n1V1n2V1n		
contig_1152	3042.000	phage	0.883	0.006	False	False	0.379	0.000	eukarya	0.000	1.000	0.000	0.000	-1.883	0.000	1.814	0.000	0.403	0.000	-3.141	0.000	1V		
contig_1153	13553.000	phage	0.086	0.803	False	False	0.549	0.000	bacteria	0.000	6.000	0.000	0.000	-0.286	0.097	5.059	1.119	-5.914	3.508	-4.137	0.426	6V		
contig_1154	12314.000	phage	0.836	0.199	True	False	0.408	0.000	bacteria	1.000	4.000	1.000	0.000	0.487	1.498	1.325	1.601	-0.918	3.285	-2.672	1.812	1V1n1V1n2V		
contig_1156	10038.000	non-phage	0.679	0.654	False	False	0.679	0.000		3.000	1.000	0.000	0.000	3.191	0.600	1.980	0.597	-4.523	0.182	-3.904	0.670	2n1V1n		
contig_1155	27817.000	phage	0.249	0.581	False	False	0.306	0.000	bacteria	1.000	12.000	0.000	0.000	-0.648	0.688	3.773	1.961	-3.617	3.023	-2.893	0.893	12V1n	DTR	13.000
contig_1158	3212.000	phage	0.640	0.808	False	False	0.678	0.000	bacteria	0.000	1.000	0.000	0.000	2.064	0.000	3.711	0.000	-5.680	0.000	-5.617	0.000	1V		
contig_116	2724.000	phage	0.134	0.721	False	False	0.583	0.000	bacteria	0.000	1.000	0.000	0.000	-0.493	0.000	3.742	0.000	-5.164	0.000	-2.281	0.000	1V		
contig_1157	48870.000	phage	0.347	0.609	False	False	0.482	0.000	bacteria	3.000	20.000	0.000	0.000	0.365	0.950	3.754	2.652	-3.967	4.434	-4.180	0.349	1V2n5V1n14V	LTR_DTR	305.000
contig_1161	13423.000	phage	0.954	0.338	False	False	0.290	0.000	bacteria	0.000	6.000	0.000	0.000	0.832	0.132	1.989	0.575	-2.270	2.014	-2.672	0.219	6V		
contig_1160	30024.000	phage	0.612	0.437	True	False	0.553	0.000	eukarya	0.000	8.000	4.000	2.000	-1.446	2.781	0.886	4.270	-0.228	4.668	-3.777	5.793	1V1n5V3n2V2n		
contig_1159	42592.000	phage	0.287	0.549	True	False	0.347	0.000	bacteria	1.000	17.000	2.000	0.000	-0.964	2.090	2.875	7.918	-3.398	6.617	-2.875	1.952	1n9V1n2V1n6V		
contig_1162	11726.000	phage	0.072	0.868	True	False	0.301	0.000	bacteria	1.000	4.000	0.000	0.000	-0.285	3.125	4.812	6.098	-6.188	2.145	-3.047	0.149	1V1n3V		
contig_1163	17919.000	phage	0.350	0.816	False	False	0.582	0.000	bacteria	3.000	5.000	0.000	0.000	1.403	2.361	3.672	3.064	-5.855	1.246	-4.883	0.779	1V1n1V1n1V1n2V		
